Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,UTA,NBA,SF,66,1111,0.46,13.9,0.784,0.265,0.148,0.062,0.309,0.216,0.508,0.791,0.25,0.4,0.41,0.286,0.674,0.95,0.04,13,0.3,0.429,3,0
2013-14,27,ATL,NBA,SF,73,2341,0.47,13.8,0.583,0.312,0.148,0.031,0.092,0.417,0.548,0.695,0.368,0.4,0.39,0.362,0.707,0.938,0.037,23,0.388,0.346,0,0
2014-15,28,ATL,NBA,SF,70,2189,0.487,13.8,0.534,0.308,0.121,0.043,0.063,0.466,0.567,0.657,0.468,0.357,0.463,0.395,0.727,0.992,0.018,12,0.438,0.444,0,0
2015-16,29,TOR,NBA,SF,26,786,0.389,14.3,0.563,0.219,0.207,0.063,0.074,0.437,0.388,0.576,0.286,0.235,0.25,0.39,0.542,0.957,0.019,5,0.22,0.385,0,0
2016-17,30,TOR,NBA,SF,72,1882,0.4,17.5,0.418,0.169,0.133,0.044,0.073,0.582,0.483,0.634,0.37,0.375,0.4,0.341,0.586,0.954,0.011,6,0.322,0.388,1,0
2017-18,31,BRK,NBA,PF,73,2180,0.414,15.1,0.502,0.21,0.175,0.066,0.051,0.498,0.457,0.606,0.365,0.346,0.3,0.371,0.461,0.931,0.015,10,0.251,0.408,0,0
2018-19,32,BRK,NBA,PF,67,1703,0.395,16.3,0.461,0.203,0.141,0.071,0.045,0.539,0.457,0.615,0.346,0.293,0.346,0.342,0.62,0.962,0.005,3,0.303,0.362,0,0
2019-20,33,TOT,NBA,"C,SF",24,290,0.379,15.2,0.5,0.242,0.167,0.091,0,0.5,0.515,0.563,0.364,0.667,,0.242,0.647,0.875,0,0,0.364,0.5,0,0
2019-20,33,SAS,NBA,SF,15,135,0.31,14.5,0.552,0.207,0.276,0.069,0,0.448,0.375,0.333,0.25,1,,0.231,0.833,1,0,0,0.154,0.5,0,0
2019-20,33,HOU,NBA,C,9,155,0.432,15.8,0.459,0.27,0.081,0.108,0,0.541,0.647,0.7,0.667,0.5,,0.25,0.545,0.8,0,0,0.5,0.5,0,0
