Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,23,TOR,NBA,PG,27,229,0.45,8.2,0.838,0.513,0.188,0.063,0.088,0.163,0.463,0.561,0.333,0.2,0.286,0.385,0.161,0.2,0.013,1,0.154,0,0,0
2016-17,24,TOR,NBA,PG,27,446,0.422,10.3,0.741,0.379,0.233,0.069,0.052,0.259,0.453,0.568,0.407,0.375,0,0.333,0.128,0.6,0.043,5,0.233,0.286,0,0
2017-18,25,TOR,NBA,PG,69,1433,0.465,11.1,0.646,0.394,0.211,0.025,0.014,0.354,0.52,0.629,0.352,0.364,0.333,0.366,0.248,0.786,0.032,13,0.216,0.424,4,1
2018-19,26,TOT,NBA,PG,75,1699,0.434,10.8,0.699,0.401,0.206,0.065,0.027,0.301,0.492,0.616,0.357,0.25,0.267,0.298,0.323,0.76,0.023,13,0.22,0.405,5,0
2018-19,26,TOR,NBA,PG,49,897,0.433,10.9,0.693,0.372,0.242,0.051,0.027,0.307,0.478,0.587,0.394,0.2,0.25,0.333,0.32,0.733,0.027,8,0.222,0.5,1,0
2018-19,26,MEM,NBA,PG,26,802,0.434,10.8,0.706,0.434,0.166,0.079,0.026,0.294,0.508,0.643,0.295,0.286,0.286,0.256,0.326,0.8,0.019,5,0.218,0.294,4,0
2019-20,27,DAL,NBA,PG,73,1570,0.462,11,0.691,0.37,0.265,0.032,0.024,0.309,0.504,0.645,0.349,0.385,0.2,0.37,0.308,0.809,0.022,8,0.173,0.5,3,0
2020-21,28,TOT,NBA,PG,63,1748,0.463,11.5,0.668,0.332,0.259,0.064,0.014,0.332,0.509,0.645,0.373,0.364,0.429,0.372,0.301,0.781,0.01,5,0.198,0.353,1,0
2020-21,28,DET,NBA,PG,36,1052,0.464,10.5,0.696,0.392,0.249,0.041,0.014,0.304,0.515,0.661,0.342,0.167,0.5,0.348,0.314,0.839,0.01,3,0.202,0.333,1,0
2020-21,28,SAC,NBA,PG,27,696,0.462,12.7,0.631,0.253,0.271,0.093,0.013,0.369,0.5,0.614,0.41,0.476,0.333,0.398,0.282,0.727,0.009,2,0.193,0.375,0,0
2021-22,29,ATL,NBA,SG,77,1452,0.454,14.1,0.569,0.294,0.19,0.045,0.041,0.431,0.51,0.62,0.412,0.25,0.455,0.379,0.449,0.818,0.026,7,0.25,0.276,3,0
2022-23,30,WAS,NBA,PG,50,1221,0.474,14.4,0.591,0.196,0.299,0.062,0.034,0.409,0.564,0.842,0.391,0.444,0.7,0.345,0.268,0.854,0.014,4,0.244,0.345,4,0
