Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,20,ATL,NBA,PG,49,641,0.383,11.9,0.777,0.309,0.218,0.08,0.17,0.223,0.425,0.569,0.366,0.267,0.313,0.238,0.339,0.9,0,0,0.214,0.333,2,0
2014-15,21,ATL,NBA,PG,77,1516,0.427,10.9,0.777,0.379,0.155,0.066,0.177,0.223,0.449,0.544,0.34,0.341,0.381,0.351,0.207,0.673,0.009,4,0.101,0.2,1,0
2015-16,22,ATL,NBA,PG,80,1621,0.421,12.6,0.694,0.371,0.078,0.063,0.182,0.306,0.465,0.528,0.344,0.388,0.415,0.322,0.23,0.727,0.005,2,0.109,0.346,4,0
2016-17,23,ATL,NBA,PG,79,2485,0.451,11.8,0.758,0.375,0.125,0.091,0.168,0.242,0.487,0.558,0.382,0.387,0.456,0.34,0.21,0.67,0.002,1,0.088,0.5,1,0
2017-18,24,ATL,NBA,PG,67,2078,0.436,12.4,0.771,0.29,0.126,0.161,0.194,0.229,0.48,0.578,0.333,0.432,0.468,0.29,0.193,0.566,0.002,0,0.053,0.214,6,0
2018-19,25,OKC,NBA,PG,79,2314,0.414,14.1,0.67,0.251,0.145,0.17,0.104,0.33,0.45,0.52,0.406,0.41,0.409,0.341,0.165,0.798,0.001,1,0.135,0.388,5,0
2019-20,26,OKC,NBA,PG,65,1999,0.469,14.8,0.663,0.227,0.121,0.174,0.141,0.337,0.513,0.639,0.444,0.44,0.456,0.385,0.357,0.84,0.003,3,0.105,0.529,4,0
2020-21,27,LAL,NBA,SG,61,1956,0.437,12.7,0.721,0.25,0.216,0.17,0.086,0.279,0.476,0.6,0.366,0.457,0.431,0.335,0.318,0.887,0.005,1,0.142,0.167,3,0
2021-22,28,TOT,NBA,PG,64,1837,0.431,14.7,0.655,0.169,0.228,0.126,0.133,0.345,0.477,0.639,0.442,0.374,0.427,0.344,0.265,0.721,0,0,0.112,0.357,1,0
2021-22,28,BOS,NBA,PG,49,1433,0.44,14.5,0.671,0.163,0.24,0.132,0.137,0.329,0.485,0.653,0.471,0.403,0.388,0.349,0.289,0.731,0,0,0.125,0.375,1,0
2021-22,28,HOU,NBA,PG,15,404,0.393,15.6,0.586,0.193,0.179,0.1,0.114,0.414,0.439,0.593,0.28,0.214,0.625,0.328,0.139,0.684,0,0,0.069,0.25,0,0
2022-23,29,LAL,NBA,PG,66,1986,0.415,14.4,0.654,0.168,0.208,0.18,0.098,0.346,0.461,0.55,0.422,0.462,0.391,0.329,0.25,0.905,0,0,0.258,0.345,0,0
