Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2017-18,20,DAL,NBA,PG,69,2049,0.395,13.3,0.669,0.317,0.11,0.092,0.148,0.331,0.435,0.606,0.257,0.223,0.336,0.313,0.191,0.585,0.049,40,0.068,0.304,2,0
2018-19,21,TOT,NBA,PG,53,1508,0.428,12.7,0.68,0.385,0.102,0.068,0.126,0.32,0.477,0.584,0.303,0.364,0.354,0.322,0.251,0.642,0.051,31,0.087,0.333,1,0
2018-19,21,DAL,NBA,PG,32,908,0.44,13,0.65,0.375,0.101,0.067,0.106,0.35,0.491,0.59,0.333,0.333,0.395,0.344,0.281,0.721,0.062,21,0.096,0.5,0,0
2018-19,21,NYK,NBA,PG,21,600,0.413,12.3,0.717,0.396,0.102,0.068,0.15,0.283,0.462,0.578,0.267,0.4,0.318,0.289,0.216,0.5,0.038,10,0.072,0,1,0
2019-20,22,NYK,NBA,PG,34,537,0.341,12.7,0.744,0.332,0.128,0.081,0.204,0.256,0.357,0.543,0.222,0.235,0.186,0.296,0.179,0.563,0.043,7,0.148,0.375,0,0
2020-21,23,TOT,NBA,PG,23,420,0.4,15.4,0.6,0.228,0.131,0.11,0.131,0.4,0.448,0.545,0.421,0.375,0.368,0.328,0.231,0.526,0.014,2,0.052,0.667,0,0
2020-21,23,NYK,NBA,PG,3,28,0.2,18.1,0.6,0.1,0.1,0.1,0.3,0.4,0.333,1,0,1,0,0,0,,0,0,0,,0,0
2020-21,23,DET,NBA,PG,20,392,0.415,15.2,0.6,0.237,0.133,0.111,0.119,0.4,0.457,0.531,0.444,0.333,0.438,0.352,0.243,0.526,0.015,2,0.056,0.667,0,0
2021-22,24,POR,NBA,PG,37,638,0.418,9,0.857,0.354,0.307,0.09,0.106,0.143,0.451,0.522,0.431,0.235,0.45,0.222,0.329,0.5,0.026,3,0.222,0.333,0,0
2022-23,25,CHO,NBA,PG,54,1390,0.412,11.4,0.754,0.33,0.232,0.093,0.1,0.246,0.475,0.664,0.343,0.357,0.267,0.216,0.42,0.958,0.053,22,0.225,0.28,1,0
