Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,UTA,NBA,PF,77,1787,0.482,6,0.991,0.507,0.262,0.111,0.109,0.009,0.487,0.67,0.282,0.365,0.258,0,0.606,,0.157,80,0.2,0,2,0
2013-14,22,UTA,NBA,PF,73,2201,0.522,6.1,0.999,0.479,0.262,0.181,0.076,0.001,0.523,0.696,0.388,0.37,0.263,0,0.628,,0.114,77,0,,0,0
2014-15,23,UTA,NBA,PF,74,2280,0.525,6.8,0.993,0.442,0.214,0.204,0.134,0.007,0.527,0.739,0.327,0.401,0.341,0.167,0.68,1,0.117,105,0.333,0.5,0,0
2015-16,24,UTA,NBA,PF,62,1983,0.515,7.7,0.995,0.38,0.21,0.249,0.157,0.005,0.518,0.714,0.453,0.391,0.331,0,0.646,,0.107,85,0,,2,0
2016-17,25,UTA,NBA,PF,50,1186,0.487,8.4,0.976,0.391,0.201,0.177,0.206,0.024,0.491,0.607,0.476,0.432,0.337,0.3,0.795,1,0.144,52,0.3,0.333,0,0
2017-18,26,UTA,NBA,C,77,2153,0.563,7.4,0.91,0.48,0.179,0.12,0.131,0.09,0.596,0.769,0.413,0.405,0.391,0.222,0.785,1,0.226,150,0.873,0.236,1,0
2018-19,27,UTA,NBA,C,76,1766,0.586,6.6,0.874,0.586,0.16,0.076,0.052,0.126,0.64,0.744,0.444,0.426,0.375,0.218,0.754,1,0.258,146,0.782,0.213,0,0
2019-20,28,NOP,NBA,C,51,1243,0.617,4,0.979,0.681,0.192,0.074,0.032,0.021,0.627,0.706,0.462,0.44,0.364,0.143,0.721,1,0.177,56,0.714,0.2,0,0
2020-21,29,UTA,NBA,C,68,1039,0.638,5.1,0.992,0.547,0.259,0.132,0.053,0.008,0.643,0.729,0.619,0.469,0.308,0,0.781,,0.128,26,1,0,0,0
2021-22,30,OKC,NBA,C,39,653,0.516,9.7,0.912,0.341,0.165,0.231,0.176,0.088,0.554,0.694,0.433,0.548,0.406,0.125,0.837,1,0.077,12,0.875,0.071,0,0
