Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,25,CHI,NBA,PG,10,311,0.354,12.3,0.713,0.299,0.226,0.073,0.116,0.287,0.359,0.531,0.243,0.417,0.105,0.34,0.405,0.875,0.006,1,0.106,0.4,0,0
2014-15,26,CHI,NBA,PG,51,1530,0.405,13.6,0.675,0.262,0.154,0.104,0.154,0.325,0.465,0.553,0.519,0.287,0.38,0.28,0.248,0.684,0.006,5,0.041,0.273,6,1
2015-16,27,CHI,NBA,PG,66,2097,0.427,10.7,0.857,0.3,0.205,0.16,0.191,0.143,0.449,0.51,0.423,0.476,0.36,0.293,0.223,0.909,0.001,1,0.147,0.318,2,0
2016-17,28,NYK,NBA,PG,64,2082,0.471,8.8,0.939,0.411,0.201,0.149,0.177,0.061,0.487,0.557,0.413,0.432,0.457,0.217,0.217,0.692,0.009,8,0.183,0.455,5,0
2017-18,29,TOT,NBA,PG,25,420,0.435,9.6,0.839,0.419,0.172,0.075,0.172,0.161,0.474,0.667,0.281,0.429,0.219,0.233,0.405,0.571,0.005,1,0.367,0.273,1,0
2017-18,29,CLE,NBA,PG,16,308,0.439,9.8,0.818,0.417,0.152,0.091,0.159,0.182,0.481,0.655,0.25,0.417,0.286,0.25,0.365,0.5,0,0,0.292,0.286,0,0
2017-18,29,MIN,NBA,PG,9,112,0.426,9.2,0.889,0.426,0.222,0.037,0.204,0.111,0.458,0.696,0.333,0.5,0.091,0.167,0.5,1,0.019,1,0.667,0.25,1,0
2018-19,30,MIN,NBA,PG,51,1392,0.482,12.1,0.806,0.29,0.175,0.158,0.183,0.194,0.509,0.651,0.364,0.496,0.435,0.37,0.249,0.685,0.001,1,0.144,0.524,3,0
2019-20,31,DET,NBA,PG,50,1298,0.49,10.9,0.805,0.301,0.252,0.145,0.106,0.195,0.535,0.665,0.458,0.468,0.438,0.306,0.173,0.644,0.003,2,0.122,0.444,1,0
2020-21,32,TOT,NBA,PG,50,1279,0.47,12.2,0.789,0.237,0.241,0.164,0.147,0.211,0.492,0.517,0.456,0.51,0.489,0.388,0.228,0.86,0,0,0.147,0.316,0,0
2020-21,32,DET,NBA,PG,15,342,0.429,11.7,0.788,0.288,0.196,0.19,0.114,0.212,0.455,0.472,0.472,0.429,0.429,0.333,0.197,0.692,0,0,0.103,0.25,0,0
2020-21,32,NYK,NBA,PG,35,937,0.487,12.4,0.789,0.215,0.26,0.152,0.162,0.211,0.507,0.543,0.45,0.554,0.507,0.411,0.24,0.919,0,0,0.167,0.333,0,0
2021-22,33,NYK,NBA,PG,26,636,0.445,13.4,0.664,0.245,0.23,0.088,0.102,0.336,0.467,0.582,0.508,0.292,0.25,0.402,0.259,0.757,0,0,0.185,0.353,1,0
2022-23,34,NYK,NBA,PG,27,338,0.384,14.2,0.604,0.189,0.258,0.094,0.063,0.396,0.438,0.567,0.366,0.467,0.3,0.302,0.333,0.737,0,0,0.19,0.333,0,0
