Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,MIN,NBA,PF,78,1916,0.43,12.3,0.751,0.378,0.087,0.074,0.212,0.249,0.463,0.603,0.191,0.397,0.347,0.332,0.736,0.969,0.102,68,0.235,0.348,1,0
2013-14,22,TOT,NBA,"PF,SF",78,1820,0.427,10.8,0.795,0.334,0.224,0.1,0.135,0.205,0.47,0.658,0.333,0.354,0.323,0.263,0.6,0.846,0.124,53,0.313,0.355,0,0
2013-14,22,MIN,NBA,PF,11,162,0.352,12.3,0.722,0.37,0.13,0.111,0.111,0.278,0.436,0.55,0.286,0.333,0.333,0.133,0.706,1,0.056,3,0.267,0,0,0
2013-14,22,SAC,NBA,SF,67,1658,0.437,10.6,0.804,0.329,0.236,0.098,0.138,0.196,0.474,0.674,0.337,0.357,0.322,0.286,0.589,0.833,0.133,50,0.321,0.407,0,0
2014-15,23,SAC,NBA,PF,74,1462,0.447,11.9,0.678,0.342,0.142,0.06,0.134,0.322,0.511,0.687,0.304,0.345,0.354,0.314,0.685,0.918,0.151,65,0.308,0.396,0,0
2015-16,24,NYK,NBA,SF,80,1435,0.45,11.3,0.735,0.391,0.096,0.094,0.154,0.265,0.506,0.633,0.296,0.453,0.345,0.293,0.59,0.864,0.087,47,0.353,0.415,2,0
2016-17,25,TOT,NBA,PF,50,804,0.443,13.6,0.602,0.369,0.053,0.057,0.119,0.398,0.531,0.589,0.308,0.5,0.483,0.309,0.705,0.967,0.078,18,0.423,0.317,1,0
2016-17,25,MIA,NBA,PF,25,377,0.394,13.2,0.672,0.365,0.058,0.073,0.168,0.328,0.489,0.52,0.25,0.7,0.435,0.2,0.667,0.889,0.036,4,0.378,0.235,1,0
2016-17,25,CLE,NBA,PF,25,427,0.505,14.1,0.514,0.374,0.047,0.037,0.056,0.486,0.6,0.675,0.4,0,0.667,0.404,0.758,1,0.131,14,0.462,0.375,0,0
2017-18,26,LAL,NBA,PF,2,9,0.25,12.8,0.5,0.25,0.25,0,0,0.5,0.5,1,0,,,0,1,,0.25,1,1,0,0,0
