Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,24,TOT,NBA,C,31,390,0.458,5.6,1,0.542,0.253,0.096,0.108,0,0.458,0.556,0.333,0.375,0.333,,0.605,,0.181,15,,,0,0
2013-14,24,GSW,NBA,C,4,6,0,8,1,0,1,0,0,0,0,,0,,,,,,0,0,,,0,0
2013-14,24,PHI,NBA,C,11,150,0.517,6.5,1,0.448,0.276,0.172,0.103,0,0.517,0.692,0.375,0.4,0.333,,0.533,,0.207,6,,,0,0
2013-14,24,ORL,NBA,C,16,234,0.434,5.1,1,0.604,0.226,0.057,0.113,0,0.434,0.5,0.333,0.333,0.333,,0.652,,0.17,9,,,0,0
2014-15,25,ORL,NBA,C,59,845,0.562,2.8,0.994,0.679,0.272,0.019,0.025,0.006,0.565,0.673,0.341,0.333,0.25,0,0.538,,0.309,40,0,,0,0
2015-16,26,ORL,NBA,C,58,705,0.559,4.3,1,0.599,0.232,0.09,0.079,0,0.559,0.651,0.415,0.5,0.357,,0.778,,0.249,38,,,0,0
2016-17,27,SAS,NBA,C,76,1330,0.622,3.2,1,0.722,0.178,0.058,0.042,0,0.622,0.706,0.391,0.4,0.455,,0.702,,0.297,65,,,0,0
2017-18,28,ATL,NBA,C,62,1542,0.524,12.5,0.704,0.281,0.138,0.147,0.138,0.296,0.595,0.776,0.485,0.471,0.47,0.355,0.8,1,0.115,50,0.461,0.4,0,0
2018-19,29,ATL,NBA,C,64,1609,0.492,13.3,0.587,0.35,0.133,0.061,0.044,0.413,0.57,0.701,0.386,0.375,0.348,0.382,0.801,0.976,0.127,62,0.3,0.446,0,0
2019-20,30,TOT,NBA,C,44,774,0.4,13.5,0.58,0.325,0.153,0.047,0.055,0.42,0.541,0.675,0.333,0.417,0.429,0.206,0.738,0.955,0.11,24,0.187,0.15,0,0
2019-20,30,SAC,NBA,C,34,541,0.404,13.7,0.585,0.304,0.181,0.035,0.064,0.415,0.55,0.692,0.355,0.5,0.455,0.197,0.709,1,0.129,19,0.141,0.3,0,0
2019-20,30,ATL,NBA,C,10,233,0.393,13.2,0.571,0.369,0.095,0.071,0.036,0.429,0.521,0.645,0.25,0.333,0.333,0.222,0.8,0.875,0.071,5,0.278,0,0,0
2020-21,31,MIA,NBA,C,16,210,0.708,5.5,0.923,0.615,0.231,0.031,0.046,0.077,0.75,0.85,0.533,1,0.333,0.2,0.689,1,0.169,10,0.2,0,0,0
2021-22,32,MIA,NBA,C,67,1065,0.566,8.2,0.838,0.441,0.286,0.069,0.041,0.162,0.597,0.695,0.53,0.45,0.25,0.404,0.71,0.947,0.121,30,0.106,0.4,1,0
2022-23,33,TOT,NBA,C,38,426,0.51,10.1,0.742,0.351,0.311,0.06,0.02,0.258,0.58,0.66,0.511,0.444,0.667,0.308,0.738,0.917,0.073,7,0.128,0.2,0,0
2022-23,33,MIA,NBA,C,30,350,0.496,10.8,0.713,0.341,0.287,0.07,0.016,0.287,0.576,0.636,0.541,0.444,0.5,0.297,0.755,1,0.062,4,0.135,0.2,0,0
2022-23,33,PHI,NBA,C,8,76,0.591,6.4,0.909,0.409,0.455,0,0.045,0.091,0.6,0.778,0.4,,1,0.5,0.667,0,0.136,3,0,,0,0
