Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,CLE,NBA,SG,61,1756,0.412,12.9,0.751,0.337,0.108,0.063,0.243,0.249,0.446,0.538,0.307,0.333,0.409,0.31,0.311,0.762,0.04,29,0.177,0.25,0,0
2013-14,22,CLE,NBA,SG,70,2072,0.433,14,0.748,0.284,0.074,0.099,0.292,0.252,0.455,0.525,0.288,0.449,0.431,0.368,0.355,0.87,0.035,29,0.204,0.373,1,0
2014-15,23,TOT,NBA,SG,80,2208,0.396,12.6,0.74,0.335,0.089,0.055,0.261,0.26,0.431,0.508,0.286,0.423,0.385,0.297,0.371,0.849,0.024,20,0.447,0.336,0,0
2014-15,23,CLE,NBA,SG,33,786,0.404,12.6,0.749,0.342,0.085,0.035,0.287,0.251,0.453,0.556,0.345,0.417,0.367,0.256,0.491,0.864,0.023,6,0.442,0.395,0,0
2014-15,23,OKC,NBA,SG,47,1422,0.392,12.5,0.735,0.331,0.091,0.066,0.247,0.265,0.419,0.48,0.255,0.425,0.396,0.319,0.296,0.843,0.025,14,0.45,0.306,0,0
2015-16,24,OKC,NBA,SG,78,2152,0.399,13.9,0.66,0.286,0.076,0.065,0.229,0.34,0.421,0.515,0.333,0.435,0.333,0.358,0.306,0.872,0.025,16,0.4,0.385,0,0
2016-17,25,MIA,NBA,SG,46,1384,0.424,13.8,0.676,0.345,0.077,0.051,0.201,0.324,0.438,0.507,0.294,0.235,0.429,0.395,0.194,0.8,0.005,3,0.26,0.518,2,0
2017-18,26,MIA,NBA,SG,30,918,0.398,15,0.585,0.246,0.124,0.046,0.168,0.415,0.463,0.614,0.333,0.421,0.348,0.306,0.171,0.769,0.007,3,0.271,0.391,1,0
2018-19,27,MIA,NBA,SG,44,1138,0.414,17.8,0.395,0.226,0.056,0.036,0.077,0.605,0.471,0.546,0.407,0.118,0.459,0.377,0.281,0.826,0,0,0.287,0.434,1,0
2019-20,28,TOT,NBA,SG,10,207,0.414,15.8,0.525,0.293,0.071,0.04,0.121,0.475,0.5,0.586,0.286,0.75,0.333,0.319,0.385,0.8,0,0,0.191,0.333,0,0
2019-20,28,MIA,NBA,SG,3,42,0.385,19.3,0.346,0.192,0.038,0,0.115,0.654,0.222,0.2,0,,0.333,0.471,0.5,0.75,0,0,0.176,0.333,0,0
2019-20,28,LAL,NBA,SG,7,165,0.425,14.6,0.589,0.329,0.082,0.055,0.123,0.411,0.558,0.667,0.333,0.75,0.333,0.233,0.375,0.857,0,0,0.2,0.333,0,0
