Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,23,CHI,NBA,SF,36,321,0.402,12.8,0.617,0.402,0.075,0.028,0.112,0.383,0.455,0.558,0.125,0,0.417,0.317,0.767,0.923,0.028,2,0.171,0.286,0,0
2015-16,24,CHI,NBA,SF,81,1861,0.452,14.5,0.598,0.242,0.126,0.093,0.137,0.402,0.47,0.577,0.37,0.467,0.375,0.425,0.757,0.982,0.019,12,0.282,0.411,0,0
2016-17,25,TOT,NBA,SF,66,1508,0.447,15.9,0.581,0.185,0.135,0.115,0.149,0.419,0.502,0.62,0.433,0.439,0.459,0.37,0.766,0.987,0.022,8,0.332,0.391,0,0
2016-17,25,CHI,NBA,SF,44,1078,0.445,15.7,0.598,0.201,0.123,0.11,0.166,0.402,0.493,0.587,0.457,0.415,0.452,0.373,0.8,1,0.024,7,0.347,0.404,0,0
2016-17,25,OKC,NBA,SF,22,430,0.452,16.4,0.532,0.137,0.169,0.129,0.097,0.468,0.53,0.765,0.381,0.5,0.5,0.362,0.657,0.952,0.016,1,0.293,0.353,0,0
2017-18,26,TOT,NBA,SF,81,1768,0.467,14.1,0.575,0.311,0.085,0.065,0.114,0.425,0.497,0.652,0.372,0.303,0.276,0.426,0.841,1,0.037,17,0.301,0.508,0,0
2017-18,26,NYK,NBA,SF,55,1172,0.46,13.7,0.582,0.348,0.07,0.055,0.11,0.418,0.513,0.658,0.261,0.389,0.278,0.387,0.806,1,0.04,11,0.307,0.429,0,0
2017-18,26,DAL,NBA,SF,26,596,0.478,14.8,0.561,0.244,0.111,0.083,0.122,0.439,0.465,0.636,0.5,0.2,0.273,0.494,0.915,1,0.033,6,0.291,0.652,0,0
2018-19,27,IND,NBA,SF,77,1340,0.491,16.1,0.512,0.268,0.081,0.043,0.121,0.488,0.569,0.681,0.588,0.5,0.333,0.408,0.919,1,0.043,16,0.383,0.456,1,0
2019-20,28,IND,NBA,PF,69,1372,0.488,16.8,0.463,0.258,0.086,0.038,0.08,0.537,0.549,0.681,0.511,0.286,0.295,0.435,0.856,1,0.027,11,0.241,0.437,0,0
2020-21,29,IND,NBA,PF,66,1619,0.532,12.8,0.57,0.397,0.141,0.018,0.014,0.43,0.641,0.716,0.5,0.417,0.222,0.388,0.774,1,0.041,26,0.231,0.424,0,0
2021-22,30,SAS,NBA,PF,51,1223,0.462,16.6,0.449,0.176,0.185,0.06,0.028,0.551,0.512,0.646,0.395,0.464,0.538,0.422,0.85,0.991,0.011,5,0.188,0.542,0,0
2022-23,31,SAS,NBA,SF,64,1314,0.457,17.3,0.43,0.176,0.163,0.054,0.038,0.57,0.516,0.707,0.412,0.393,0.25,0.413,0.845,0.984,0.027,14,0.198,0.407,1,0
