Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,GSW,NBA,SF,79,1061,0.327,14.1,0.739,0.272,0.132,0.093,0.241,0.261,0.368,0.586,0.176,0.208,0.29,0.209,0.586,1,0.023,6,0.313,0.333,3,0
2013-14,23,GSW,NBA,SF,82,1797,0.407,13.8,0.641,0.307,0.139,0.061,0.133,0.359,0.449,0.596,0.25,0.214,0.426,0.333,0.636,0.945,0.054,24,0.212,0.4,3,0
2014-15,24,GSW,NBA,PF,79,2490,0.443,13.6,0.57,0.335,0.115,0.051,0.069,0.43,0.523,0.68,0.205,0.462,0.34,0.337,0.737,1,0.051,36,0.085,0.286,0,0
2015-16,25,GSW,NBA,PF,81,2808,0.49,10,0.685,0.488,0.144,0.023,0.029,0.315,0.537,0.618,0.339,0.368,0.292,0.388,0.618,0.96,0.061,47,0.093,0.417,1,0
2016-17,26,GSW,NBA,PF,76,2471,0.418,12.8,0.595,0.394,0.138,0.035,0.031,0.405,0.494,0.637,0.211,0.174,0.25,0.308,0.712,0.975,0.109,65,0.068,0.389,1,0
2017-18,27,GSW,NBA,PF,70,2287,0.454,13.4,0.586,0.355,0.111,0.076,0.044,0.414,0.562,0.695,0.391,0.362,0.259,0.301,0.716,0.909,0.073,39,0.066,0.118,3,0
2018-19,28,GSW,NBA,PF,66,2065,0.445,13.4,0.609,0.358,0.135,0.066,0.05,0.391,0.549,0.702,0.316,0.393,0.286,0.285,0.702,0.936,0.064,25,0.133,0.455,1,0
2019-20,29,GSW,NBA,PF,43,1222,0.389,15,0.592,0.231,0.184,0.092,0.085,0.408,0.465,0.685,0.31,0.414,0.259,0.279,0.724,1,0.019,6,0.093,0.333,0,0
2020-21,30,GSW,NBA,PF,63,1982,0.447,12.2,0.668,0.347,0.218,0.05,0.053,0.332,0.535,0.667,0.458,0.211,0.3,0.27,0.618,0.971,0.076,27,0.127,0.375,2,0
2021-22,31,GSW,NBA,PF,46,1329,0.525,9.8,0.79,0.315,0.377,0.058,0.039,0.21,0.586,0.716,0.557,0.267,0.3,0.296,0.714,1,0.093,21,0.222,0.167,4,0
2022-23,32,GSW,NBA,PF,73,2297,0.527,10.3,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.709,0.57,0.474,0.273,0.305,0.852,1,0.051,21,0.298,0.308,2,0
