Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,LAL,NBA,C,76,2722,0.578,3.7,0.993,0.594,0.357,0.025,0.017,0.007,0.581,0.7,0.424,0.25,0.214,0.167,0.697,1,0.244,187,0.333,0.5,1,0
2013-14,28,HOU,NBA,C,71,2396,0.591,3.5,0.991,0.576,0.393,0.02,0.003,0.009,0.594,0.735,0.408,0.188,0.5,0.286,0.51,1,0.258,195,0.571,0.5,2,0
2014-15,29,HOU,NBA,C,41,1223,0.593,2.7,0.995,0.624,0.364,0.002,0.005,0.005,0.594,0.723,0.377,0,0.5,0.5,0.612,1,0.265,104,0,,1,0
2015-16,30,HOU,NBA,C,71,2280,0.62,2.6,0.99,0.658,0.322,0.008,0.003,0.01,0.626,0.752,0.378,0.4,0,0,0.71,,0.318,176,0,,2,0
2016-17,31,ATL,NBA,C,74,2199,0.633,2.9,0.997,0.757,0.175,0.029,0.038,0.003,0.635,0.735,0.327,0.333,0.261,0,0.657,,0.346,199,1,0,0,0
2017-18,32,CHO,NBA,C,81,2463,0.555,4.7,0.992,0.568,0.28,0.053,0.092,0.008,0.559,0.7,0.392,0.313,0.333,0.143,0.57,1,0.21,174,0,,2,0
2018-19,33,WAS,NBA,C,9,230,0.623,4.6,1,0.623,0.217,0.058,0.101,0,0.623,0.767,0.4,0.25,0.429,,0.744,,0.188,12,,,0,0
2019-20,34,LAL,NBA,C,69,1306,0.729,2.5,0.982,0.794,0.181,0,0.007,0.018,0.732,0.814,0.38,,0.5,0.6,0.618,1,0.448,116,0.2,0,0,0
2020-21,35,PHI,NBA,C,69,1196,0.587,4.4,0.934,0.67,0.208,0.023,0.033,0.066,0.611,0.665,0.476,0.286,0.6,0.25,0.59,0.8,0.317,85,0.15,0.333,1,0
2021-22,36,LAL,NBA,C,60,971,0.612,4.5,0.932,0.63,0.251,0.037,0.014,0.068,0.618,0.732,0.418,0.25,0,0.533,0.675,0.875,0.233,40,0.133,1,0,0
