Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,23,TOT,NBA,PF,29,236,0.463,11,0.836,0.358,0.104,0.075,0.299,0.164,0.5,0.708,0,0.8,0.35,0.273,0.714,1,0.104,5,0.273,0.333,0,0
2014-15,23,BOS,NBA,PF,5,9,0.8,0.6,1,1,0,0,0,0,0.8,0.8,,,,,0.5,,0.2,1,,,0,0
2014-15,23,DAL,NBA,PF,24,227,0.435,11.9,0.823,0.306,0.113,0.081,0.323,0.177,0.471,0.684,0,0.8,0.35,0.273,0.75,1,0.097,4,0.273,0.333,0,0
2015-16,24,DAL,NBA,PF,69,992,0.493,8.4,0.946,0.473,0.108,0.071,0.294,0.054,0.514,0.714,0.25,0.333,0.333,0.125,0.889,1,0.149,38,0.375,0.333,0,0
2016-17,25,DAL,NBA,C,77,1333,0.515,10.4,0.804,0.446,0.103,0.053,0.199,0.196,0.571,0.762,0.385,0.4,0.293,0.284,0.838,1,0.146,54,0.216,0.125,1,0
2017-18,26,DAL,NBA,C,79,1672,0.593,7.9,0.805,0.549,0.156,0.03,0.07,0.195,0.656,0.775,0.418,0.308,0.4,0.333,0.828,1,0.251,96,0.155,0.615,2,0
2018-19,27,DAL,NBA,C,77,1662,0.597,8.6,0.739,0.578,0.123,0.014,0.023,0.261,0.699,0.797,0.417,0.143,0.091,0.307,0.841,1,0.216,99,0.087,0.364,0,0
2019-20,28,DAL,NBA,C,40,1061,0.638,6.1,0.83,0.677,0.135,0.013,0.004,0.17,0.716,0.813,0.323,0,0,0.256,0.809,1,0.279,57,0.308,0.333,0,0
2020-21,29,DAL,NBA,C,58,966,0.619,4.5,0.892,0.737,0.144,0.01,0,0.108,0.665,0.755,0.25,0,,0.238,0.843,1,0.34,58,0,,0,0
2021-22,30,DAL,NBA,C,82,1798,0.671,4.6,0.908,0.708,0.16,0.02,0.02,0.092,0.703,0.792,0.422,0.375,0.125,0.351,0.855,1,0.302,108,0.216,0.625,1,0
2022-23,31,DAL,NBA,C,76,1458,0.732,2.5,0.981,0.799,0.167,0.004,0.011,0.019,0.746,0.791,0.578,0,0.333,0,0.787,,0.316,76,0.4,0,0,0
