Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,TOT,NBA,"C,PF",81,1631,0.539,6.1,1,0.427,0.309,0.203,0.06,0,0.539,0.689,0.45,0.439,0.276,,0.696,,0.145,65,,,0,0
2012-13,23,TOR,NBA,C,45,1087,0.549,6.7,1,0.369,0.322,0.248,0.062,0,0.549,0.744,0.459,0.452,0.238,,0.715,,0.159,51,,,0,0
2012-13,23,MEM,NBA,PF,36,544,0.517,4.6,1,0.566,0.28,0.098,0.056,0,0.517,0.605,0.425,0.357,0.375,,0.649,,0.112,14,,,0,0
2013-14,24,MEM,NBA,PF,63,956,0.534,5.3,1,0.517,0.252,0.186,0.045,0,0.534,0.68,0.342,0.444,0.308,,0.703,,0.169,42,,,0,0
2014-15,25,LAL,NBA,PF,79,1840,0.601,2.2,1,0.721,0.243,0.036,0,0,0.601,0.686,0.386,0.353,,,0.652,,0.181,80,,,0,0
2015-16,26,POR,NBA,PF,81,1684,0.611,2,1,0.748,0.24,0.012,0,0,0.611,0.659,0.469,0.5,,,0.583,,0.131,40,,,0,0
2016-17,27,POR,NBA,PF,46,789,0.528,2.5,1,0.718,0.275,0.007,0,0,0.528,0.578,0.385,1,,,0.667,,0.176,19,,,0,0
2017-18,28,POR,NBA,C,78,1471,0.582,2.4,0.997,0.695,0.267,0.031,0.003,0.003,0.584,0.67,0.385,0.444,0,0,0.576,,0.154,39,0,,1,0
2018-19,29,BRK,NBA,C,81,1446,0.616,2.3,0.993,0.798,0.189,0.003,0.003,0.007,0.62,0.689,0.351,0,0,0,0.602,,0.152,42,0,,0,0
2019-20,30,UTA,NBA,C,28,303,0.478,3.2,1,0.609,0.37,0,0.022,0,0.478,0.607,0.235,,1,,0.545,,0.065,3,,,0,0
2020-21,31,MIN,NBA,C,23,299,0.432,1.9,1,0.727,0.273,0,0,0,0.432,0.469,0.333,,,,0.368,,0.159,7,,,0,0
2021-22,32,CLE,NBA,C,31,201,0.688,2.3,1,0.75,0.25,0,0,0,0.688,0.75,0.5,,,,0.727,,0.125,2,,,0,0
