Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,20,ORL,NBA,PG,82,2489,0.425,6.4,0.941,0.458,0.301,0.103,0.078,0.059,0.435,0.515,0.376,0.329,0.345,0.262,0.179,0.909,0.041,27,0.31,0.385,0,0
2015-16,21,ORL,NBA,PG,73,2145,0.436,8.8,0.874,0.411,0.212,0.104,0.147,0.126,0.451,0.583,0.381,0.355,0.252,0.326,0.285,0.933,0.016,9,0.283,0.308,1,0
2016-17,22,ORL,NBA,PG,82,2412,0.471,9.2,0.84,0.424,0.219,0.088,0.106,0.16,0.509,0.61,0.43,0.363,0.402,0.274,0.133,0.9,0.018,16,0.253,0.324,2,0
2017-18,23,TOT,NBA,PG,63,1808,0.493,8.1,0.862,0.405,0.264,0.105,0.088,0.138,0.52,0.674,0.398,0.371,0.356,0.326,0.207,0.833,0.016,9,0.261,0.375,0,0
2017-18,23,ORL,NBA,PG,44,1257,0.52,8.2,0.854,0.41,0.26,0.107,0.076,0.146,0.545,0.702,0.403,0.408,0.371,0.373,0.23,0.88,0.013,5,0.313,0.429,0,0
2017-18,23,PHO,NBA,PG,19,551,0.435,8,0.88,0.392,0.273,0.1,0.115,0.12,0.467,0.61,0.386,0.286,0.333,0.2,0.151,0.6,0.024,4,0.12,0,0,0
2018-19,24,NOP,NBA,PG,42,1250,0.434,9.5,0.745,0.413,0.296,0.024,0.012,0.255,0.476,0.541,0.377,0.5,0.6,0.314,0.349,0.848,0.019,6,0.057,0.167,1,0
2019-20,25,NYK,NBA,PG,45,1246,0.439,8.7,0.843,0.407,0.268,0.105,0.064,0.157,0.482,0.575,0.407,0.348,0.429,0.203,0.212,0.857,0.02,9,0.159,0.273,0,0
2020-21,26,NYK,NBA,PG,63,1484,0.432,8.4,0.842,0.368,0.339,0.093,0.042,0.158,0.46,0.576,0.393,0.293,0.346,0.286,0.27,0.964,0.014,7,0.398,0.308,0,0
2021-22,27,PHO,NBA,PG,50,549,0.383,8,0.897,0.263,0.491,0.097,0.046,0.103,0.401,0.5,0.372,0.353,0.25,0.222,0.27,0.75,0.029,4,0.333,0,0,0
