Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,UTA,NBA,C,70,1078,0.544,6.4,0.997,0.485,0.243,0.132,0.137,0.003,0.542,0.652,0.446,0.4,0.462,1,0.537,0,0.066,24,0,,0,0
2013-14,21,UTA,NBA,C,80,2138,0.491,7.4,0.999,0.392,0.283,0.171,0.154,0.001,0.492,0.638,0.415,0.39,0.374,0,0.539,,0.05,39,0,,0,0
2014-15,22,TOT,NBA,C,75,2135,0.519,6.9,0.952,0.503,0.177,0.089,0.182,0.048,0.528,0.666,0.409,0.41,0.32,0.356,0.528,1,0.039,30,0.778,0.343,0,0
2014-15,22,UTA,NBA,C,49,1326,0.491,7.9,0.93,0.452,0.175,0.086,0.216,0.07,0.505,0.673,0.402,0.36,0.294,0.317,0.538,1,0.045,20,0.756,0.29,0,0
2014-15,22,OKC,NBA,C,26,809,0.566,5.2,0.988,0.59,0.179,0.095,0.124,0.012,0.564,0.657,0.419,0.485,0.395,0.75,0.513,1,0.029,10,1,0.75,0,0
2015-16,23,OKC,NBA,C,82,1721,0.576,4.9,0.971,0.62,0.159,0.12,0.072,0.029,0.579,0.65,0.447,0.512,0.365,0.476,0.594,1,0.065,42,0.762,0.5,1,0
2016-17,24,OKC,NBA,C,72,1533,0.545,5.9,0.948,0.571,0.212,0.081,0.084,0.052,0.568,0.637,0.526,0.333,0.435,0.132,0.496,1,0.042,27,0.474,0.056,1,0
2017-18,25,NYK,NBA,C,71,1830,0.592,3.8,0.997,0.61,0.262,0.076,0.048,0.003,0.594,0.683,0.46,0.463,0.412,0,0.491,,0.05,31,0,,0,0
2018-19,26,TOT,NBA,C,67,1640,0.549,4.7,0.95,0.66,0.202,0.059,0.029,0.05,0.562,0.661,0.348,0.3,0.35,0.294,0.499,0.9,0.038,22,0.029,1,0,0
2018-19,26,NYK,NBA,C,44,1128,0.536,4.9,0.953,0.615,0.241,0.06,0.036,0.047,0.547,0.677,0.31,0.25,0.412,0.318,0.492,0.857,0.028,12,0.045,1,0,0
2018-19,26,POR,NBA,C,23,512,0.577,4.1,0.944,0.758,0.116,0.056,0.014,0.056,0.596,0.632,0.52,0.417,0,0.25,0.512,1,0.06,10,0,,0,0
2019-20,27,BOS,NBA,C,58,983,0.572,3.6,0.98,0.661,0.27,0.017,0.032,0.02,0.581,0.639,0.479,0.167,0.455,0.143,0.47,1,0.04,11,0.143,0,0,0
2020-21,28,POR,NBA,C,72,1758,0.604,2.7,0.993,0.695,0.275,0.016,0.007,0.007,0.607,0.695,0.416,0.222,0.25,0.25,0.459,1,0.032,16,0,,1,0
2021-22,29,BOS,NBA,C,35,411,0.526,4.4,0.948,0.557,0.33,0.041,0.021,0.052,0.533,0.537,0.5,0.5,1,0.4,0.388,1,0.031,2,0.2,1,0,0
