Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,LAC,NBA,PG,76,1553,0.445,10.4,0.863,0.4,0.169,0.092,0.202,0.137,0.453,0.573,0.438,0.346,0.278,0.397,0.333,0.806,0.048,21,0.256,0.5,3,0
2013-14,24,PHO,NBA,PG,43,1416,0.477,12.4,0.748,0.338,0.137,0.09,0.183,0.252,0.517,0.665,0.382,0.42,0.392,0.357,0.126,0.44,0.009,5,0.079,0.545,0,0
2014-15,25,PHO,NBA,PG,81,2800,0.447,12.2,0.74,0.348,0.12,0.071,0.203,0.26,0.491,0.64,0.32,0.351,0.382,0.324,0.211,0.58,0.02,19,0.173,0.34,2,0
2015-16,26,PHO,NBA,PG,31,1059,0.453,12.8,0.738,0.264,0.161,0.093,0.22,0.262,0.482,0.585,0.367,0.543,0.417,0.372,0.143,0.479,0.01,4,0.109,0.143,0,0
2016-17,27,PHO,NBA,PG,66,2176,0.434,13.8,0.7,0.278,0.143,0.105,0.178,0.3,0.477,0.606,0.459,0.385,0.332,0.335,0.116,0.51,0.004,4,0.077,0.292,4,0
2017-18,28,TOT,NBA,PG,74,2322,0.473,13.7,0.636,0.295,0.122,0.098,0.122,0.364,0.545,0.702,0.372,0.474,0.388,0.347,0.28,0.744,0.019,18,0.167,0.4,1,0
2017-18,28,PHO,NBA,PG,3,83,0.4,11.9,0.675,0.35,0.125,0.1,0.1,0.325,0.444,0.643,0.2,0.25,0.25,0.308,0,0,0,0,0.154,0,0,0
2017-18,28,MIL,NBA,PG,71,2239,0.476,13.8,0.634,0.293,0.122,0.098,0.123,0.366,0.55,0.705,0.379,0.484,0.393,0.349,0.29,0.769,0.02,18,0.167,0.414,1,0
2018-19,29,MIL,NBA,PG,78,2272,0.484,12.9,0.612,0.383,0.124,0.065,0.04,0.388,0.582,0.726,0.3,0.413,0.359,0.329,0.329,0.589,0.015,15,0.143,0.278,0,0
2019-20,30,MIL,NBA,PG,61,1646,0.475,12.2,0.694,0.337,0.185,0.098,0.074,0.306,0.533,0.709,0.354,0.362,0.404,0.344,0.319,0.459,0.003,2,0.126,0.296,0,0
2020-21,31,NOP,NBA,SG,71,2111,0.421,16.5,0.514,0.159,0.167,0.11,0.078,0.486,0.496,0.681,0.393,0.425,0.439,0.341,0.489,0.86,0,0,0.22,0.346,1,0
2021-22,32,LAC,NBA,PG,54,1361,0.421,14.2,0.652,0.231,0.194,0.107,0.12,0.348,0.479,0.611,0.462,0.44,0.286,0.313,0.301,0.902,0.002,1,0.129,0.333,2,0
