Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,NOH,NBA,SG,42,1264,0.402,13.6,0.704,0.281,0.195,0.051,0.176,0.296,0.436,0.543,0.395,0.3,0.35,0.324,0.33,0.786,0.012,6,0.15,0.308,2,0
2013-14,25,NOP,NBA,SG,64,2057,0.436,13.3,0.684,0.308,0.154,0.058,0.163,0.316,0.456,0.583,0.286,0.362,0.414,0.391,0.373,0.871,0.006,5,0.143,0.27,2,0
2014-15,26,NOP,NBA,SG,61,2018,0.411,15.7,0.546,0.2,0.148,0.063,0.133,0.454,0.38,0.46,0.32,0.273,0.38,0.448,0.361,0.943,0,0,0.156,0.429,2,0
2015-16,27,NOP,NBA,SG,45,1481,0.418,16.3,0.467,0.225,0.096,0.033,0.116,0.533,0.457,0.524,0.358,0.5,0.391,0.384,0.441,0.85,0.022,10,0.153,0.289,0,0
2016-17,28,HOU,NBA,SG,75,2323,0.406,18.7,0.349,0.194,0.094,0.015,0.044,0.651,0.468,0.574,0.365,0.2,0.333,0.372,0.446,0.841,0.007,6,0.13,0.372,2,0
2017-18,29,HOU,NBA,SG,69,2154,0.428,17.7,0.373,0.234,0.089,0.027,0.022,0.627,0.544,0.661,0.384,0.269,0.333,0.359,0.386,0.849,0.012,11,0.122,0.459,5,1
2018-19,30,HOU,NBA,SG,68,2158,0.409,18.3,0.36,0.198,0.134,0.018,0.01,0.64,0.497,0.634,0.317,0.412,0.333,0.36,0.435,0.875,0.007,7,0.112,0.373,0,0
2019-20,31,HOU,NBA,SF,36,1016,0.369,19,0.346,0.201,0.112,0.019,0.013,0.654,0.469,0.559,0.385,0.333,0,0.317,0.533,0.802,0.011,5,0.079,0.208,2,0
2020-21,32,HOU,NBA,SG,27,789,0.433,17.1,0.428,0.248,0.153,0.022,0.005,0.572,0.573,0.747,0.357,0.25,0,0.329,0.311,0.754,0.005,2,0.048,0.5,0,0
2021-22,33,HOU,NBA,SG,57,1670,0.475,16.2,0.466,0.238,0.2,0.021,0.007,0.534,0.548,0.679,0.416,0.333,0.5,0.412,0.34,0.718,0.005,3,0.066,0.5,0,0
2022-23,34,TOT,NBA,SG,69,1965,0.446,17.2,0.455,0.164,0.243,0.041,0.006,0.545,0.535,0.71,0.453,0.37,0.25,0.371,0.39,0.811,0.002,1,0.084,0.467,1,0
2022-23,34,HOU,NBA,SG,47,1418,0.439,16.5,0.487,0.163,0.274,0.042,0.008,0.513,0.536,0.744,0.458,0.3,0.25,0.347,0.32,0.765,0.002,1,0.078,0.526,1,0
2022-23,34,LAC,NBA,SG,22,547,0.463,19,0.366,0.166,0.16,0.04,0,0.634,0.531,0.621,0.429,0.571,,0.423,0.647,0.894,0,0,0.099,0.364,0,0
