Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,MIL,NBA,PF,73,2012,0.462,13.7,0.733,0.288,0.102,0.121,0.223,0.267,0.469,0.567,0.329,0.495,0.391,0.444,0.736,0.989,0.006,4,0.079,0.353,1,0
2013-14,26,MIL,NBA,PF,55,1478,0.409,13.5,0.774,0.299,0.092,0.102,0.282,0.226,0.446,0.549,0.302,0.339,0.423,0.282,0.775,1,0.014,7,0.107,0.214,0,0
2014-15,27,MIL,NBA,PF,58,1319,0.472,13.4,0.659,0.345,0.066,0.054,0.194,0.341,0.515,0.594,0.27,0.4,0.491,0.389,0.714,0.973,0.007,3,0.126,0.5,0,0
2015-16,28,TOT,NBA,PF,74,1881,0.424,14,0.608,0.292,0.124,0.05,0.144,0.392,0.458,0.57,0.317,0.394,0.368,0.371,0.641,0.927,0.003,1,0.131,0.353,0,0
2015-16,28,DET,NBA,PF,52,1434,0.425,14.6,0.577,0.266,0.126,0.049,0.136,0.423,0.471,0.593,0.297,0.44,0.406,0.363,0.638,0.936,0.002,0,0.14,0.333,0,0
2015-16,28,ORL,NBA,PF,22,447,0.418,11.8,0.712,0.379,0.118,0.052,0.17,0.288,0.422,0.517,0.389,0.25,0.269,0.409,0.652,0.889,0.007,1,0.091,0.5,0,0
2016-17,29,TOT,NBA,PF,82,2142,0.431,15.7,0.548,0.245,0.098,0.081,0.124,0.452,0.496,0.601,0.368,0.375,0.473,0.353,0.736,0.93,0.009,8,0.204,0.427,0,0
2016-17,29,OKC,NBA,PF,3,62,0.375,18.7,0.25,0.25,0,0,0,0.75,0.75,0.75,,,,0.25,0.333,1,0,0,0.25,0.333,0,0
2016-17,29,PHI,NBA,PF,53,1447,0.44,16,0.54,0.235,0.1,0.077,0.128,0.46,0.509,0.658,0.369,0.32,0.458,0.359,0.736,0.925,0.011,7,0.185,0.455,0,0
2016-17,29,ATL,NBA,PF,26,633,0.412,14.6,0.593,0.274,0.097,0.097,0.119,0.407,0.455,0.452,0.364,0.5,0.519,0.348,0.754,0.938,0.004,1,0.261,0.375,0,0
2017-18,30,TOT,NBA,PF,69,1729,0.452,13.9,0.587,0.299,0.104,0.085,0.1,0.413,0.517,0.623,0.375,0.385,0.459,0.36,0.753,0.967,0.013,7,0.269,0.485,0,0
2017-18,30,ATL,NBA,PF,46,1175,0.459,14.1,0.576,0.299,0.085,0.08,0.112,0.424,0.532,0.617,0.441,0.469,0.422,0.359,0.797,0.967,0.015,6,0.365,0.484,0,0
2017-18,30,PHI,NBA,PF,23,554,0.439,13.6,0.608,0.297,0.142,0.094,0.075,0.392,0.488,0.635,0.3,0.25,0.563,0.361,0.667,0.967,0.009,1,0.072,0.5,0,0
2018-19,31,MIL,NBA,PF,67,1231,0.438,13.8,0.58,0.354,0.115,0.058,0.052,0.42,0.493,0.615,0.25,0.364,0.35,0.363,0.697,1,0.013,4,0.244,0.333,1,0
2019-20,32,MIL,NBA,PF,63,986,0.466,14.1,0.562,0.3,0.163,0.061,0.038,0.438,0.545,0.649,0.373,0.474,0.583,0.365,0.802,0.98,0.01,3,0.234,0.313,0,0
2020-21,33,UTA,NBA,PF,17,148,0.389,21.6,0.241,0.093,0.019,0.056,0.074,0.759,0.231,0.4,0,0,0.25,0.439,0.667,1,0.019,0,0.22,0.222,0,0
