Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,PHI,NBA,SF,82,2892,0.419,13.1,0.849,0.186,0.145,0.262,0.255,0.151,0.428,0.546,0.346,0.428,0.39,0.365,0.371,0.931,0.013,14,0.509,0.383,1,0
2013-14,25,TOT,NBA,SF,81,2457,0.425,11.6,0.847,0.252,0.193,0.225,0.178,0.153,0.444,0.584,0.371,0.391,0.396,0.321,0.409,0.98,0.023,23,0.474,0.378,0,0
2013-14,25,PHI,NBA,SF,54,1886,0.428,11.7,0.841,0.256,0.179,0.212,0.194,0.159,0.455,0.573,0.383,0.409,0.416,0.288,0.44,0.974,0.026,22,0.447,0.322,0,0
2013-14,25,IND,NBA,SF,27,571,0.411,10.8,0.874,0.232,0.253,0.284,0.111,0.126,0.398,0.636,0.333,0.333,0.238,0.5,0.258,1,0.005,1,0.625,0.6,0,0
2014-15,26,BOS,NBA,SG,82,2260,0.429,11.8,0.84,0.248,0.126,0.263,0.204,0.16,0.458,0.584,0.309,0.449,0.408,0.277,0.244,0.818,0.032,19,0.319,0.342,0,0
2015-16,27,BOS,NBA,SG,81,2271,0.456,10.6,0.89,0.264,0.162,0.311,0.153,0.11,0.482,0.638,0.418,0.427,0.391,0.241,0.303,0.95,0.013,8,0.494,0.341,1,0
2016-17,28,POR,NBA,SF,65,1658,0.426,12.9,0.786,0.197,0.176,0.263,0.149,0.214,0.47,0.55,0.536,0.421,0.378,0.263,0.176,0.903,0.011,6,0.449,0.321,0,0
2017-18,29,POR,NBA,SF,79,2034,0.447,13.3,0.771,0.128,0.184,0.315,0.144,0.229,0.485,0.676,0.443,0.451,0.446,0.318,0.236,0.976,0.014,8,0.417,0.327,0,0
2018-19,30,POR,NBA,PG,73,1605,0.46,10.2,0.883,0.305,0.205,0.228,0.144,0.117,0.494,0.659,0.33,0.465,0.422,0.212,0.306,1,0.02,9,0.346,0.222,0,0
2019-20,31,ATL,NBA,SG,19,251,0.373,10.4,0.925,0.299,0.149,0.343,0.134,0.075,0.403,0.55,0.5,0.261,0.333,0,0.4,,0,0,0.2,0,0,0
