Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,CHO,NBA,C,81,1708,0.41,12.6,0.615,0.331,0.187,0.04,0.057,0.385,0.455,0.523,0.408,0.238,0.367,0.337,0.578,0.985,0.034,15,0.129,0.269,1,0
2016-17,23,CHO,NBA,C,75,1954,0.399,15.1,0.559,0.214,0.213,0.074,0.056,0.441,0.455,0.587,0.427,0.305,0.267,0.328,0.627,1,0.015,12,0.11,0.359,4,0
2017-18,24,CHO,NBA,PF,79,1835,0.429,14.2,0.617,0.17,0.251,0.13,0.066,0.383,0.459,0.672,0.378,0.43,0.277,0.38,0.517,0.99,0.022,15,0.077,0.286,0,0
2018-19,25,CHO,NBA,C,47,755,0.463,14.7,0.534,0.258,0.208,0.044,0.023,0.466,0.553,0.649,0.565,0.231,0,0.36,0.716,1,0.013,4,0.079,0.091,0,0
2019-20,26,PHO,NBA,C,39,777,0.45,13.4,0.596,0.293,0.195,0.065,0.042,0.404,0.53,0.6,0.55,0.35,0.231,0.331,0.68,1,0.052,13,0.056,0.429,0,0
2020-21,27,PHO,NBA,C,47,715,0.471,12.2,0.669,0.276,0.276,0.07,0.047,0.331,0.523,0.676,0.451,0.444,0.167,0.365,0.767,1,0.035,9,0.188,0.5,0,0
2021-22,28,PHO,NBA,C,9,181,0.545,9.2,0.773,0.303,0.394,0.061,0.015,0.227,0.608,0.65,0.577,0.75,0,0.333,0.71,1,0.076,4,0.067,0,0,0
2022-23,29,TOT,NBA,C,36,235,0.492,16.2,0.476,0.206,0.175,0.063,0.032,0.524,0.6,0.846,0.364,0.5,0.5,0.394,0.889,1,0.032,2,0.091,0,0,0
2022-23,29,ATL,NBA,C,26,176,0.568,15.8,0.477,0.227,0.182,0.045,0.023,0.523,0.667,0.8,0.5,0.5,1,0.478,0.929,1,0.045,2,0.043,0,0,0
2022-23,29,HOU,NBA,C,10,59,0.316,17.1,0.474,0.158,0.158,0.105,0.053,0.526,0.444,1,0,0.5,0,0.2,0.75,1,0,0,0.2,0,0,0
