Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,WAS,NBA,SG,51,1156,0.407,15.5,0.69,0.217,0.066,0.109,0.298,0.31,0.444,0.482,0.471,0.357,0.442,0.325,0.646,0.923,0.004,1,0.438,0.4,0,0
2013-14,27,WAS,NBA,SG,75,638,0.362,14.4,0.794,0.241,0.078,0.106,0.369,0.206,0.402,0.588,0.364,0.267,0.327,0.207,0.511,0.5,0,0,0.414,0.167,0,0
2014-15,28,WAS,NBA,SG,52,735,0.4,16.8,0.482,0.218,0.065,0.053,0.147,0.518,0.427,0.595,0,0.444,0.36,0.375,0.514,0.879,0.012,2,0.409,0.389,1,0
2015-16,29,WAS,NBA,SF,80,1951,0.398,15.7,0.489,0.261,0.071,0.046,0.113,0.511,0.453,0.561,0.306,0.348,0.333,0.345,0.571,0.944,0.026,13,0.457,0.364,1,0
2016-17,30,SAC,NBA,SG,65,1728,0.424,17.2,0.491,0.19,0.069,0.076,0.153,0.509,0.476,0.646,0.467,0.455,0.288,0.373,0.515,0.915,0.009,2,0.377,0.301,0,0
2017-18,31,SAC,NBA,SG,65,1615,0.418,17.4,0.523,0.155,0.061,0.097,0.21,0.477,0.442,0.635,0.207,0.391,0.39,0.392,0.427,0.888,0.015,7,0.335,0.329,0,0
2018-19,32,TOT,NBA,SG,75,2040,0.422,16.7,0.465,0.221,0.083,0.079,0.081,0.535,0.515,0.688,0.341,0.487,0.25,0.341,0.636,0.933,0.026,12,0.386,0.382,0,0
2018-19,32,MEM,NBA,SG,49,1530,0.429,16.8,0.457,0.222,0.08,0.075,0.08,0.543,0.52,0.698,0.355,0.483,0.226,0.352,0.63,0.919,0.028,10,0.386,0.395,0,0
2018-19,32,LAC,NBA,SG,26,510,0.396,16.4,0.491,0.217,0.094,0.094,0.085,0.509,0.5,0.652,0.3,0.5,0.333,0.296,0.654,1,0.019,2,0.389,0.333,0,0
2019-20,33,BRK,NBA,SG,62,1730,0.378,18.9,0.342,0.172,0.055,0.06,0.056,0.658,0.473,0.584,0.375,0.286,0.424,0.329,0.611,0.858,0.007,3,0.288,0.351,0,0
2020-21,34,CHI,NBA,SG,56,1528,0.415,16.1,0.475,0.236,0.087,0.073,0.079,0.525,0.503,0.611,0.424,0.393,0.367,0.335,0.67,0.955,0.003,0,0.47,0.362,0,0
2021-22,35,NOP,NBA,SG,59,1098,0.376,18.1,0.373,0.18,0.071,0.071,0.051,0.627,0.473,0.642,0.429,0.238,0.267,0.319,0.635,0.983,0.014,4,0.459,0.318,0,0
2022-23,36,NOP,NBA,SG,25,162,0.4,17.3,0.422,0.311,0.022,0.044,0.044,0.578,0.368,0.5,0,0,0,0.423,0.429,1,0,0,0.231,0.333,1,0
