Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,20,DEN,NBA,SG,55,719,0.304,15.8,0.525,0.23,0.078,0.088,0.129,0.475,0.395,0.48,0.294,0.368,0.321,0.204,0.511,0.905,0.055,10,0.33,0.147,0,0
2015-16,21,DEN,NBA,SG,76,2439,0.469,13.1,0.612,0.358,0.08,0.075,0.099,0.388,0.543,0.613,0.41,0.456,0.461,0.354,0.622,0.943,0.058,41,0.343,0.343,1,0
2016-17,22,DEN,NBA,SG,57,1782,0.502,13.2,0.6,0.383,0.096,0.042,0.077,0.4,0.558,0.656,0.361,0.444,0.388,0.42,0.662,0.972,0.066,38,0.239,0.557,3,0
2017-18,23,DEN,NBA,SG,67,2304,0.485,14.8,0.566,0.25,0.119,0.097,0.1,0.434,0.553,0.718,0.417,0.466,0.385,0.396,0.577,0.891,0.052,46,0.208,0.415,1,0
2018-19,24,DEN,NBA,SG,57,1639,0.424,13.6,0.62,0.295,0.155,0.088,0.082,0.38,0.476,0.617,0.323,0.446,0.288,0.339,0.606,0.89,0.052,27,0.256,0.371,1,0
2019-20,25,DEN,NBA,SG,56,1780,0.42,13.9,0.595,0.291,0.148,0.081,0.075,0.405,0.479,0.649,0.234,0.286,0.513,0.333,0.757,0.9,0.05,25,0.295,0.484,1,0
2020-21,26,TOT,NBA,SG,39,1080,0.4,14.3,0.591,0.235,0.191,0.067,0.099,0.409,0.441,0.605,0.318,0.391,0.324,0.34,0.633,0.854,0.032,10,0.333,0.426,0,0
2020-21,26,DEN,NBA,SG,19,581,0.442,14.4,0.519,0.256,0.186,0.026,0.051,0.481,0.556,0.75,0.379,0.5,0.25,0.32,0.733,1,0.051,8,0.453,0.471,0,0
2020-21,26,ORL,NBA,SG,20,499,0.365,14.3,0.651,0.217,0.196,0.101,0.138,0.349,0.366,0.463,0.27,0.368,0.346,0.364,0.533,0.708,0.016,2,0.197,0.308,0,0
2021-22,27,ORL,NBA,SG,61,1730,0.434,17.2,0.454,0.145,0.152,0.051,0.107,0.546,0.494,0.675,0.464,0.429,0.322,0.384,0.589,0.931,0.014,7,0.464,0.471,0,0
2022-23,28,ORL,NBA,SG,48,1184,0.45,19.4,0.29,0.143,0.091,0.016,0.039,0.71,0.494,0.614,0.429,0,0.417,0.431,0.523,0.915,0.01,2,0.417,0.462,0,0
