Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,24,MIL,NBA,PG,6,99,0.364,12.8,0.591,0.364,0.136,0.091,0,0.409,0.538,0.75,0,0.5,,0.111,0.571,1,0.091,2,0,,0,0
2017-18,25,TOT,NBA,PG,23,221,0.405,10.7,0.662,0.459,0.081,0.095,0.027,0.338,0.49,0.588,0.333,0.143,0.5,0.24,0.458,1,0.095,6,0.44,0.273,0,0
2017-18,25,MIL,NBA,PG,12,106,0.394,9.8,0.636,0.576,0,0.061,0,0.364,0.524,0.579,,0,,0.167,0.545,1,0.091,3,0.583,0.143,0,0
2017-18,25,LAL,NBA,PG,11,115,0.415,11.3,0.683,0.366,0.146,0.122,0.049,0.317,0.464,0.6,0.333,0.2,0.5,0.308,0.385,1,0.098,3,0.308,0.5,0,0
2018-19,26,WAS,NBA,PG,3,16,0.625,6.6,0.75,0.75,0,0,0,0.25,0.667,0.667,,,,0.5,0.75,1,0.125,1,0.5,1,0,0
2019-20,27,WAS,NBA,SF,29,432,0.414,11.7,0.603,0.431,0.129,0.034,0.009,0.397,0.5,0.64,0.067,0.25,1,0.283,0.629,1,0.095,10,0.391,0.278,0,0
2020-21,28,GSW,NBA,PG,10,40,0.769,8.6,0.692,0.615,0.077,0,0,0.308,0.889,0.875,1,,,0.5,0.75,1,0.231,2,0.75,0.333,0,0
2021-22,29,GSW,NBA,SG,71,1248,0.616,10.4,0.651,0.398,0.244,0.003,0.006,0.349,0.754,0.825,0.655,0,0.5,0.358,0.787,1,0.18,55,0.6,0.403,1,0
2022-23,30,TOT,NBA,SG,22,367,0.594,10.5,0.623,0.449,0.159,0.014,0,0.377,0.651,0.677,0.636,0,,0.5,0.714,1,0.087,3,0.769,0.55,0,0
2022-23,30,POR,NBA,SG,15,255,0.585,11.2,0.585,0.488,0.073,0.024,0,0.415,0.625,0.7,0.333,0,,0.529,0.733,1,0.049,1,0.706,0.583,0,0
2022-23,30,GSW,NBA,SG,7,112,0.607,9.5,0.679,0.393,0.286,0,0,0.321,0.684,0.636,0.75,,,0.444,0.692,1,0.143,2,0.889,0.5,0,0
