Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,IND,NBA,PG,76,2620,0.443,16.2,0.595,0.188,0.126,0.111,0.169,0.405,0.494,0.677,0.455,0.454,0.347,0.368,0.301,0.738,0.009,8,0.218,0.286,4,0
2013-14,27,IND,NBA,PG,76,2434,0.442,16.2,0.578,0.183,0.136,0.102,0.156,0.422,0.497,0.69,0.548,0.349,0.323,0.365,0.362,0.842,0.011,7,0.204,0.34,2,0
2014-15,28,IND,NBA,PG,43,1267,0.477,14.5,0.639,0.226,0.14,0.123,0.15,0.361,0.544,0.702,0.427,0.5,0.45,0.358,0.237,0.725,0.019,9,0.223,0.326,2,0
2015-16,29,IND,NBA,PG,74,2524,0.441,15.3,0.575,0.222,0.099,0.103,0.153,0.425,0.466,0.622,0.397,0.342,0.363,0.408,0.338,0.82,0.016,12,0.379,0.445,0,0
2016-17,30,UTA,NBA,PG,49,1544,0.477,15.2,0.616,0.203,0.134,0.144,0.132,0.384,0.523,0.675,0.469,0.483,0.4,0.403,0.256,0.67,0.008,4,0.249,0.448,2,0
2017-18,31,TOT,NBA,PG,67,1812,0.46,15.2,0.6,0.189,0.136,0.119,0.156,0.4,0.49,0.701,0.371,0.426,0.388,0.415,0.318,0.753,0.01,5,0.322,0.47,1,0
2017-18,31,SAC,NBA,PG,43,1143,0.469,15.5,0.607,0.172,0.15,0.132,0.153,0.393,0.48,0.679,0.429,0.349,0.42,0.453,0.295,0.741,0.006,2,0.211,0.481,1,0
2017-18,31,CLE,NBA,PG,24,669,0.444,14.8,0.588,0.219,0.112,0.096,0.16,0.412,0.509,0.732,0.238,0.611,0.333,0.351,0.357,0.778,0.016,3,0.506,0.462,0,0
2018-19,32,TOT,NBA,PG,60,1302,0.452,14.7,0.593,0.306,0.08,0.106,0.101,0.407,0.547,0.661,0.3,0.525,0.421,0.314,0.418,0.792,0.011,4,0.242,0.351,1,0
2018-19,32,CLE,NBA,PG,13,344,0.514,13.1,0.738,0.308,0.084,0.14,0.206,0.262,0.532,0.636,0.222,0.533,0.5,0.464,0.357,0.692,0.019,2,0.214,0.5,0,0
2018-19,32,MIL,NBA,PG,47,958,0.428,15.3,0.535,0.305,0.078,0.093,0.059,0.465,0.556,0.671,0.333,0.52,0.313,0.28,0.45,0.829,0.007,2,0.248,0.323,1,0
2019-20,33,MIL,NBA,PG,59,1271,0.516,15,0.532,0.301,0.112,0.059,0.061,0.468,0.565,0.761,0.214,0.364,0.435,0.46,0.469,0.642,0.029,11,0.233,0.512,1,0
2020-21,34,TOT,NBA,PG,30,672,0.482,14.4,0.594,0.259,0.147,0.112,0.076,0.406,0.547,0.647,0.483,0.455,0.467,0.388,0.453,0.806,0.01,2,0.288,0.435,0,0
2020-21,34,OKC,NBA,PG,14,369,0.508,15.3,0.525,0.25,0.133,0.092,0.05,0.475,0.619,0.7,0.625,0.364,0.667,0.386,0.462,0.864,0,0,0.263,0.4,0,0
2020-21,34,PHI,NBA,PG,16,303,0.442,13.1,0.701,0.273,0.169,0.143,0.117,0.299,0.463,0.571,0.308,0.545,0.333,0.391,0.44,0.667,0.026,2,0.348,0.5,0,0
2021-22,35,MIL,NBA,PG,54,1253,0.429,15.4,0.513,0.265,0.138,0.062,0.047,0.487,0.546,0.74,0.316,0.294,0.462,0.306,0.442,0.927,0.015,3,0.381,0.392,1,0
2022-23,36,TOT,NBA,"PG,SG",46,834,0.47,17.7,0.428,0.205,0.102,0.054,0.066,0.572,0.62,0.706,0.412,0.667,0.636,0.358,0.477,0.853,0.018,3,0.337,0.438,4,1
2022-23,36,MIL,NBA,PG,35,668,0.447,17.7,0.439,0.205,0.106,0.053,0.076,0.561,0.621,0.704,0.357,0.714,0.7,0.311,0.417,0.87,0.015,2,0.351,0.385,3,0
2022-23,36,IND,NBA,SG,11,166,0.559,17.9,0.382,0.206,0.088,0.059,0.029,0.618,0.615,0.714,0.667,0.5,0,0.524,0.75,0.818,0.029,1,0.286,0.667,1,1
