Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,19,MIL,NBA,SF,77,1897,0.414,10.8,0.718,0.476,0.098,0.045,0.098,0.282,0.44,0.573,0.171,0.105,0.22,0.347,0.621,0.707,0.16,61,0.127,0.067,1,0
2014-15,20,MIL,NBA,SG,81,2541,0.491,7.2,0.944,0.506,0.178,0.067,0.192,0.056,0.511,0.646,0.288,0.423,0.393,0.159,0.519,0.857,0.129,95,0.159,0.143,1,0
2015-16,21,MIL,NBA,PG,80,2823,0.506,7.5,0.892,0.509,0.18,0.058,0.143,0.108,0.537,0.684,0.346,0.288,0.359,0.257,0.485,0.821,0.143,141,0.321,0.343,4,0
2016-17,22,MIL,NBA,SF,80,2845,0.521,8.7,0.857,0.496,0.149,0.064,0.146,0.143,0.563,0.709,0.394,0.338,0.342,0.272,0.42,0.714,0.164,194,0.111,0.2,4,0
2017-18,23,MIL,NBA,PF,75,2756,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161,0.107,0.333,1,0
2018-19,24,MIL,NBA,PF,72,2358,0.578,7.7,0.837,0.573,0.152,0.051,0.063,0.163,0.641,0.769,0.339,0.381,0.41,0.256,0.472,0.673,0.246,279,0.044,0.222,1,0
2019-20,25,MIL,NBA,PF,63,1917,0.553,9.8,0.763,0.482,0.16,0.073,0.048,0.237,0.631,0.779,0.343,0.433,0.4,0.304,0.438,0.551,0.17,197,0.034,0.5,0,0
2020-21,26,MIL,NBA,PF,61,2013,0.569,9.5,0.799,0.451,0.193,0.094,0.062,0.201,0.636,0.837,0.401,0.359,0.324,0.303,0.428,0.299,0.169,178,0.045,0.3,0,0
2021-22,27,MIL,NBA,PF,67,2204,0.553,10,0.806,0.406,0.198,0.12,0.082,0.194,0.616,0.808,0.421,0.416,0.431,0.293,0.432,0.423,0.152,179,0.025,0.167,2,0
2022-23,28,MIL,NBA,PF,63,2024,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.791,0.354,0.353,0.355,0.275,0.415,0.617,0.166,198,0.023,0.25,0,0
