Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,PHO,NBA,PG,77,2581,0.443,13.5,0.695,0.292,0.1,0.143,0.159,0.305,0.497,0.664,0.341,0.369,0.403,0.319,0.284,0.625,0.007,6,0.188,0.346,0,0
2013-14,27,PHO,NBA,SG,76,2668,0.505,12.1,0.726,0.349,0.12,0.129,0.128,0.274,0.542,0.696,0.351,0.411,0.429,0.408,0.209,0.533,0.009,9,0.201,0.517,0,0
2014-15,28,TOT,NBA,"PG,SG",78,2640,0.501,10.6,0.742,0.415,0.105,0.126,0.096,0.258,0.555,0.7,0.381,0.373,0.354,0.347,0.383,0.756,0.001,1,0.32,0.349,0,0
2014-15,28,PHO,NBA,SG,52,1735,0.501,10.8,0.726,0.405,0.108,0.118,0.096,0.274,0.556,0.705,0.356,0.388,0.354,0.355,0.434,0.758,0.001,1,0.366,0.324,0,0
2014-15,28,MIA,NBA,PG,26,905,0.502,10,0.774,0.437,0.099,0.142,0.096,0.226,0.552,0.688,0.438,0.348,0.355,0.329,0.283,0.75,0,0,0.205,0.467,0,0
2015-16,29,MIA,NBA,PG,72,2363,0.477,11.3,0.766,0.328,0.142,0.169,0.127,0.234,0.527,0.666,0.387,0.426,0.459,0.312,0.252,0.75,0.001,1,0.244,0.26,0,0
2016-17,30,MIA,NBA,PG,73,2459,0.475,12.5,0.743,0.267,0.187,0.177,0.113,0.257,0.499,0.61,0.486,0.417,0.386,0.405,0.204,0.658,0,0,0.211,0.426,0,0
2017-18,31,MIA,NBA,PG,75,2378,0.45,12.3,0.721,0.269,0.171,0.175,0.106,0.279,0.481,0.63,0.38,0.436,0.342,0.37,0.273,0.784,0,0,0.18,0.37,2,0
2018-19,32,MIA,NBA,PG,36,991,0.413,13.8,0.621,0.277,0.145,0.134,0.065,0.379,0.454,0.575,0.365,0.362,0.321,0.348,0.295,0.772,0,0,0.177,0.31,0,0
2019-20,33,MIA,NBA,PG,59,1663,0.441,16.2,0.533,0.182,0.152,0.106,0.093,0.467,0.505,0.697,0.391,0.338,0.507,0.367,0.338,0.653,0,0,0.169,0.404,1,0
2020-21,34,MIA,NBA,PG,50,1337,0.432,15.3,0.56,0.205,0.164,0.142,0.049,0.44,0.479,0.588,0.396,0.456,0.37,0.373,0.322,0.802,0,0,0.172,0.548,1,0
2021-22,35,TOT,NBA,PG,21,497,0.377,15.2,0.583,0.192,0.172,0.166,0.053,0.417,0.466,0.621,0.538,0.28,0.25,0.254,0.195,0.875,0.007,1,0.19,0.25,1,0
2021-22,35,TOR,NBA,PG,5,90,0.382,15.3,0.588,0.206,0.147,0.235,0,0.412,0.45,0.571,0.4,0.375,,0.286,0.111,0.75,0.029,1,0.214,0,1,0
2021-22,35,BRK,NBA,PG,16,408,0.376,15.2,0.581,0.188,0.179,0.145,0.068,0.419,0.471,0.636,0.571,0.235,0.25,0.245,0.219,0.917,0,0,0.184,0.333,0,0
2022-23,36,TOT,NBA,PG,58,870,0.421,15.8,0.567,0.185,0.128,0.179,0.075,0.433,0.468,0.613,0.372,0.35,0.56,0.359,0.393,0.904,0,0,0.186,0.481,0,0
2022-23,36,CHI,NBA,PG,51,787,0.425,15.5,0.572,0.191,0.13,0.181,0.07,0.428,0.48,0.632,0.359,0.352,0.619,0.352,0.39,0.911,0,0,0.195,0.48,0,0
2022-23,36,MIL,NBA,PG,7,83,0.389,17.7,0.528,0.139,0.111,0.167,0.111,0.472,0.368,0.4,0.5,0.333,0.25,0.412,0.429,0.857,0,0,0.118,0.5,0,0
