Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,24,MIN,NBA,C,60,818,0.498,5.5,0.996,0.52,0.273,0.11,0.093,0.004,0.496,0.619,0.29,0.52,0.381,1,0.705,1,0.128,27,0,,0,0
2014-15,25,MIN,NBA,C,73,2193,0.506,7.2,0.988,0.406,0.234,0.213,0.135,0.012,0.51,0.635,0.35,0.569,0.319,0.167,0.632,1,0.104,49,0,,3,0
2015-16,26,MIN,NBA,C,82,2220,0.532,8.2,0.965,0.387,0.197,0.157,0.223,0.035,0.54,0.71,0.395,0.462,0.434,0.3,0.712,1,0.131,69,0.65,0.385,0,0
2016-17,27,MIN,NBA,PF,82,2653,0.502,10.4,0.935,0.337,0.177,0.135,0.286,0.065,0.511,0.641,0.436,0.449,0.434,0.372,0.782,0.938,0.079,47,0.721,0.452,3,0
2017-18,28,MIN,NBA,C,79,1333,0.479,12.4,0.843,0.25,0.129,0.152,0.312,0.157,0.511,0.67,0.3,0.542,0.455,0.311,0.784,0.895,0.075,28,0.77,0.298,0,0
2018-19,29,MIN,NBA,C,76,1031,0.501,12.8,0.851,0.279,0.103,0.172,0.297,0.149,0.53,0.695,0.41,0.462,0.455,0.339,0.741,0.947,0.08,28,0.625,0.429,3,0
2019-20,30,TOT,NBA,C,63,1096,0.456,14.6,0.582,0.297,0.102,0.077,0.107,0.418,0.528,0.676,0.324,0.393,0.41,0.355,0.723,0.963,0.085,28,0.263,0.45,0,0
2019-20,30,MIN,NBA,C,46,778,0.448,15,0.567,0.3,0.087,0.069,0.112,0.433,0.497,0.602,0.292,0.421,0.419,0.383,0.692,0.978,0.065,15,0.242,0.448,0,0
2019-20,30,MEM,NBA,C,17,318,0.483,13.4,0.632,0.287,0.149,0.103,0.092,0.368,0.618,0.92,0.385,0.333,0.375,0.25,0.794,0.875,0.149,13,0.344,0.455,0,0
2020-21,31,TOT,NBA,C,38,552,0.521,14.6,0.571,0.252,0.141,0.129,0.049,0.429,0.591,0.78,0.435,0.524,0.25,0.429,0.6,0.967,0.074,11,0.171,0.583,0,0
2020-21,31,MEM,NBA,C,22,371,0.519,15.3,0.556,0.222,0.111,0.148,0.074,0.444,0.55,0.792,0.333,0.5,0.25,0.479,0.667,0.957,0.083,8,0.208,0.6,0,0
2020-21,31,SAS,NBA,C,16,181,0.527,13.2,0.6,0.309,0.2,0.091,0,0.4,0.667,0.765,0.545,0.6,,0.318,0.5,1,0.055,3,0.091,0.5,0,0
2021-22,32,ATL,NBA,C,44,371,0.473,19.2,0.393,0.134,0.071,0.089,0.098,0.607,0.545,0.733,0.375,0.6,0.364,0.426,0.833,0.931,0.018,2,0.074,0.4,0,0
2022-23,33,SAS,NBA,C,31,358,0.385,19.3,0.359,0.137,0.06,0.111,0.051,0.641,0.571,0.75,0.429,0.462,0.5,0.28,0.667,0.905,0.051,6,0.093,0.429,0,0
