Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,DET,NBA,C,81,2687,0.486,5.2,0.996,0.56,0.256,0.043,0.137,0.004,0.488,0.614,0.332,0.311,0.317,0,0.521,,0.044,43,0.25,0,1,0
2013-14,23,DET,NBA,PF,82,2690,0.497,5,0.999,0.524,0.321,0.06,0.094,0.001,0.497,0.632,0.368,0.41,0.242,0,0.558,,0.038,35,0,,1,0
2014-15,24,DET,NBA,PF,69,2137,0.496,3.5,1,0.531,0.393,0.033,0.043,0,0.496,0.614,0.367,0.321,0.351,,0.499,,0.027,22,,,0,0
2015-16,25,MIL,NBA,C,79,2314,0.522,4.1,0.999,0.542,0.324,0.067,0.065,0.001,0.522,0.596,0.446,0.429,0.393,0,0.57,,0.021,19,0,,0,0
2016-17,26,MIL,NBA,C,81,1823,0.533,4.5,0.994,0.569,0.303,0.055,0.066,0.006,0.536,0.62,0.414,0.475,0.438,0,0.581,,0.029,19,0,,2,0
2017-18,27,TOT,NBA,C,51,1040,0.565,3.7,1,0.516,0.396,0.044,0.044,0,0.565,0.729,0.379,0.412,0.471,,0.514,,0.023,7,,,0,0
2017-18,27,MIL,NBA,C,5,79,0.485,4.6,1,0.485,0.364,0.091,0.061,0,0.485,0.563,0.417,0.667,0,,0.625,,0,0,,,0,0
2017-18,27,PHO,NBA,C,20,465,0.626,3.2,1,0.587,0.348,0.026,0.039,0,0.626,0.747,0.426,0.5,0.667,,0.495,,0.019,2,,,0,0
2017-18,27,BOS,NBA,C,26,496,0.53,4,1,0.465,0.439,0.051,0.045,0,0.53,0.739,0.345,0.3,0.444,,0.514,,0.03,5,,,0,0
2018-19,28,TOT,NBA,C,43,480,0.487,4.5,0.974,0.534,0.354,0.063,0.021,0.026,0.495,0.604,0.388,0.333,0,0.2,0.527,1,0.016,2,0,,0,0
2018-19,28,TOR,NBA,C,38,423,0.46,4.2,0.975,0.565,0.348,0.05,0.012,0.025,0.471,0.56,0.375,0.25,0,0,0.527,,0.019,2,0,,0,0
2018-19,28,BOS,NBA,C,2,5,0.6,3.3,1,0.4,0.6,0,0,0,0.6,1,0.333,,,,0,,0,0,,,0,0
2018-19,28,PHI,NBA,C,3,52,0.652,7.4,0.957,0.348,0.348,0.174,0.087,0.043,0.636,1,0.5,0.5,0,1,0.643,1,0,0,0,,0,0
2021-22,31,TOT,NBA,C,14,195,0.561,3.1,1,0.632,0.351,0,0.018,0,0.561,0.694,0.35,,0,,0.563,,0.018,1,,,0,0
2021-22,31,MIN,NBA,C,4,81,0.591,3.7,1,0.545,0.409,0,0.045,0,0.591,0.917,0.222,,0,,0.692,,0,0,,,0,0
2021-22,31,WAS,NBA,C,2,18,0.5,2.3,1,0.75,0.25,0,0,0,0.5,0.667,0,,,,0.5,,0,0,,,0,0
2021-22,31,MIL,NBA,C,5,70,0.5,3,1,0.636,0.364,0,0,0,0.5,0.429,0.625,,,,0.455,,0.045,1,,,0,0
2021-22,31,UTA,NBA,C,3,26,0.8,2.5,1,0.8,0.2,0,0,0,0.8,1,0,,,,0.5,,0,0,,,0,0
