Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,GSW,NBA,SF,81,2058,0.439,11.4,0.769,0.323,0.204,0.111,0.131,0.231,0.464,0.685,0.359,0.2,0.305,0.359,0.567,0.923,0.115,67,0.297,0.442,0,0
2013-14,21,GSW,NBA,SF,78,2204,0.399,12.9,0.72,0.224,0.225,0.138,0.131,0.28,0.419,0.592,0.386,0.255,0.36,0.347,0.493,0.97,0.056,37,0.4,0.355,0,0
2014-15,22,GSW,NBA,SF,82,2318,0.482,12.9,0.672,0.309,0.122,0.081,0.16,0.328,0.519,0.685,0.325,0.415,0.4,0.405,0.611,0.977,0.104,66,0.526,0.478,1,0
2015-16,23,GSW,NBA,SF,66,2042,0.466,13.9,0.662,0.227,0.147,0.104,0.183,0.338,0.508,0.625,0.409,0.394,0.509,0.383,0.634,0.988,0.093,54,0.444,0.358,0,0
2016-17,24,DAL,NBA,PF,79,2803,0.468,13.1,0.827,0.183,0.186,0.194,0.265,0.173,0.492,0.679,0.483,0.452,0.398,0.351,0.434,0.949,0.045,48,0.284,0.317,0,0
2017-18,25,DAL,NBA,PF,77,2634,0.445,13.2,0.724,0.21,0.205,0.136,0.172,0.276,0.478,0.63,0.44,0.354,0.438,0.357,0.366,0.832,0.031,34,0.255,0.412,3,0
2018-19,26,TOT,NBA,"PF,SF",77,2533,0.42,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0
2018-19,26,DAL,NBA,PF,49,1584,0.404,15,0.566,0.197,0.195,0.099,0.075,0.434,0.416,0.617,0.336,0.296,0.259,0.389,0.485,0.876,0.024,14,0.277,0.442,0,0
2018-19,26,SAC,NBA,SF,28,949,0.455,14.8,0.581,0.19,0.252,0.09,0.048,0.419,0.489,0.729,0.397,0.357,0.267,0.408,0.545,0.849,0.048,14,0.346,0.467,2,0
2019-20,27,SAC,NBA,PF,72,2482,0.46,11.8,0.662,0.294,0.285,0.058,0.025,0.338,0.501,0.691,0.363,0.304,0.3,0.381,0.525,0.873,0.043,31,0.336,0.356,1,1
2020-21,28,SAC,NBA,PF,58,2102,0.497,12.5,0.601,0.307,0.248,0.044,0.003,0.399,0.567,0.721,0.415,0.393,0,0.391,0.584,0.88,0.059,35,0.223,0.491,0,0
2021-22,29,SAC,NBA,PF,77,2580,0.469,13.5,0.568,0.237,0.283,0.041,0.007,0.432,0.525,0.682,0.403,0.471,0.5,0.394,0.566,0.951,0.034,25,0.308,0.486,0,0
2022-23,30,SAC,NBA,PF,82,2662,0.473,13.6,0.554,0.255,0.23,0.053,0.008,0.446,0.553,0.713,0.407,0.429,0.333,0.374,0.57,0.924,0.062,46,0.365,0.395,2,0
