Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,NYK,NBA,SG,45,996,0.396,15.7,0.538,0.291,0.062,0.04,0.145,0.462,0.392,0.438,0.235,0.273,0.4,0.402,0.362,0.961,0.018,2,0.417,0.434,2,0
2013-14,23,NYK,NBA,SG,74,1962,0.378,17.1,0.529,0.2,0.062,0.05,0.217,0.471,0.418,0.536,0.233,0.292,0.39,0.333,0.271,0.829,0.031,12,0.439,0.39,1,0
2014-15,24,TOT,NBA,SG,62,1545,0.41,16.2,0.584,0.187,0.068,0.104,0.225,0.416,0.458,0.568,0.25,0.408,0.453,0.342,0.492,0.94,0.064,20,0.403,0.316,1,0
2014-15,24,NYK,NBA,SG,24,625,0.409,15.2,0.693,0.205,0.07,0.153,0.265,0.307,0.436,0.545,0.267,0.333,0.456,0.348,0.538,0.913,0.065,9,0.197,0.385,1,0
2014-15,24,CLE,NBA,SG,38,920,0.41,17.1,0.492,0.172,0.066,0.063,0.191,0.508,0.484,0.591,0.235,0.563,0.449,0.338,0.443,0.955,0.063,11,0.508,0.303,0,0
2015-16,25,CLE,NBA,SG,54,1316,0.374,16.7,0.521,0.197,0.069,0.072,0.184,0.479,0.447,0.6,0.143,0.227,0.482,0.295,0.507,0.977,0.056,12,0.404,0.288,3,0
2016-17,26,CLE,NBA,SG,76,1937,0.411,18.3,0.466,0.151,0.049,0.065,0.198,0.534,0.469,0.622,0.125,0.375,0.474,0.36,0.346,0.883,0.031,11,0.429,0.384,0,0
2017-18,27,CLE,NBA,SG,14,276,0.379,18.1,0.552,0.121,0.069,0.052,0.31,0.448,0.469,0.714,0.5,0.667,0.333,0.269,0.467,0.429,0.017,1,0.308,0.25,0,0
2018-19,28,TOT,NBA,SG,62,1481,0.374,19.9,0.388,0.117,0.031,0.065,0.175,0.612,0.416,0.654,0.214,0.241,0.359,0.348,0.542,0.895,0.002,1,0.304,0.373,1,0
2018-19,28,SAC,NBA,SG,42,1099,0.382,19.6,0.42,0.121,0.034,0.072,0.193,0.58,0.404,0.667,0.167,0.28,0.328,0.366,0.542,0.878,0.003,1,0.287,0.379,1,0
2018-19,28,HOU,NBA,SG,20,382,0.347,21.2,0.276,0.102,0.02,0.041,0.112,0.724,0.481,0.6,0.5,0,0.545,0.296,0.538,0.952,0,0,0.352,0.36,0,0
2019-20,29,BRK,NBA,SF,13,241,0.328,18.5,0.484,0.156,0.031,0.078,0.219,0.516,0.419,0.6,0.5,0.4,0.286,0.242,0.769,0.875,0,0,0.242,0.25,0,0
2020-21,30,BRK,NBA,SG,2,11,0.25,21.9,0.25,0,0,0.25,0,0.75,1,,,1,,0,0,,0,0,0,,0,0
