Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,HOU,NBA,PG,22,252,0.356,18.7,0.368,0.23,0.046,0.011,0.069,0.632,0.406,0.5,0.25,0,0.333,0.327,0.308,0.778,0,0,0.309,0.353,0,0
2014-15,23,TOT,NBA,PG,47,938,0.386,18.6,0.349,0.172,0.079,0.026,0.071,0.651,0.417,0.462,0.4,0.3,0.37,0.37,0.218,0.516,0,0,0.154,0.368,1,0
2014-15,23,HOU,NBA,PG,25,369,0.405,17.8,0.359,0.214,0.061,0.023,0.061,0.641,0.447,0.536,0.125,0.333,0.5,0.381,0.286,0.563,0,0,0.238,0.3,1,0
2014-15,23,PHI,NBA,PG,22,569,0.377,19,0.344,0.15,0.089,0.028,0.077,0.656,0.4,0.405,0.5,0.286,0.316,0.364,0.176,0.492,0,0,0.111,0.444,0,0
2015-16,24,PHI,NBA,SG,77,1966,0.36,19,0.328,0.13,0.096,0.047,0.057,0.672,0.354,0.489,0.261,0.294,0.244,0.363,0.417,0.744,0,0,0.198,0.406,0,0
2016-17,25,CHI,NBA,SG,39,592,0.364,17.6,0.457,0.15,0.127,0.064,0.116,0.543,0.481,0.538,0.636,0.273,0.35,0.266,0.368,0.92,0.012,2,0.298,0.25,0,0
2017-18,26,TOT,NBA,"PG,SG",20,422,0.38,14.4,0.518,0.314,0.146,0.036,0.022,0.482,0.423,0.349,0.65,0.2,0.333,0.333,0.2,0.591,0,0,0.167,0.455,1,0
2017-18,26,HOU,NBA,SG,1,4,0,5,1,0,1,0,0,0,0,,0,,,,,,0,0,,,0,0
2017-18,26,PHO,NBA,PG,19,418,0.382,14.5,0.515,0.316,0.14,0.037,0.022,0.485,0.429,0.349,0.684,0.2,0.333,0.333,0.2,0.591,0,0,0.167,0.455,1,0
2018-19,27,TOT,NBA,PG,30,629,0.39,17.4,0.415,0.244,0.067,0.049,0.055,0.585,0.441,0.45,0.273,0.5,0.556,0.354,0.3,0.735,0,0,0.26,0.4,0,0
2018-19,27,PHO,NBA,PG,19,503,0.395,16.9,0.442,0.256,0.07,0.054,0.062,0.558,0.456,0.424,0.333,0.571,0.625,0.347,0.346,0.8,0,0,0.264,0.421,0,0
2018-19,27,MIN,NBA,PG,7,95,0.379,18.9,0.345,0.241,0.034,0.034,0.034,0.655,0.4,0.571,0,0,0,0.368,0,0.571,0,0,0.263,0.4,0,0
2018-19,27,MIL,NBA,PG,4,31,0.333,22.2,0.167,0,0.167,0,0,0.833,0,,0,,,0.4,,0.5,0,0,0.2,0,0,0
