Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,SAC,NBA,PG,79,2122,0.44,14.1,0.614,0.238,0.204,0.077,0.095,0.386,0.491,0.682,0.371,0.422,0.329,0.358,0.347,0.704,0,0,0.231,0.351,2,0
2013-14,24,SAC,NBA,PG,72,2497,0.453,14.5,0.668,0.185,0.207,0.129,0.147,0.332,0.504,0.685,0.414,0.433,0.466,0.349,0.241,0.528,0,0,0.082,0.3,0,0
2014-15,25,TOT,NBA,PG,67,1726,0.42,14.9,0.566,0.253,0.112,0.08,0.12,0.434,0.457,0.584,0.315,0.375,0.375,0.373,0.257,0.69,0,0,0.118,0.39,2,0
2014-15,25,PHO,NBA,PG,46,1181,0.426,14.7,0.596,0.225,0.133,0.104,0.135,0.404,0.449,0.6,0.353,0.377,0.348,0.391,0.241,0.753,0,0,0.164,0.353,1,0
2014-15,25,BOS,NBA,PG,21,545,0.411,15.1,0.512,0.305,0.074,0.039,0.095,0.488,0.473,0.563,0.19,0.364,0.444,0.345,0.29,0.583,0,0,0.05,0.571,1,0
2015-16,26,BOS,NBA,PG,82,2644,0.428,12.2,0.664,0.34,0.135,0.104,0.084,0.336,0.462,0.581,0.289,0.382,0.362,0.359,0.337,0.647,0,0,0.142,0.47,0,0
2016-17,27,BOS,NBA,PG,76,2569,0.463,14.3,0.561,0.331,0.104,0.064,0.062,0.439,0.528,0.589,0.359,0.516,0.5,0.379,0.341,0.604,0,0,0.13,0.429,0,0
2017-18,28,TOT,NBA,PG,32,862,0.373,15.8,0.553,0.192,0.124,0.135,0.102,0.447,0.438,0.506,0.365,0.404,0.442,0.293,0.275,0.545,0,0,0.128,0.292,1,0
2017-18,28,CLE,NBA,PG,15,406,0.361,15.8,0.552,0.201,0.103,0.129,0.119,0.448,0.449,0.487,0.3,0.48,0.478,0.253,0.333,0.591,0,0,0.195,0.294,0,0
2017-18,28,LAL,NBA,PG,17,456,0.383,15.8,0.555,0.185,0.141,0.141,0.088,0.445,0.429,0.524,0.406,0.344,0.4,0.327,0.222,0.515,0,0,0.069,0.286,1,0
2018-19,29,DEN,NBA,SG,12,181,0.343,14.8,0.566,0.141,0.273,0.131,0.02,0.434,0.393,0.571,0.333,0.231,1,0.279,0.545,0.667,0,0,0.14,0.167,0,0
2019-20,30,WAS,NBA,PG,40,925,0.408,17.7,0.556,0.066,0.157,0.185,0.148,0.444,0.405,0.536,0.299,0.392,0.476,0.413,0.385,0.769,0,0,0.111,0.238,0,0
2020-21,31,NOP,NBA,PG,3,48,0.333,17.1,0.556,0.148,0.111,0.148,0.148,0.444,0.4,0.5,0,0.75,0.25,0.25,0.833,0.667,0,0,0.083,0,0,0
2021-22,32,TOT,NBA,PG,22,333,0.401,16.8,0.503,0.126,0.18,0.132,0.066,0.497,0.464,0.571,0.233,0.636,0.545,0.337,0.487,0.786,0,0,0.241,0.35,0,0
2021-22,32,LAL,NBA,PG,4,101,0.308,18.7,0.436,0.103,0.077,0.205,0.051,0.564,0.412,0.5,0,0.625,0,0.227,0.571,0.8,0,0,0.182,0.25,0,0
2021-22,32,DAL,NBA,PG,1,13,0.375,17.6,0.625,0.125,0,0.25,0.25,0.375,0.6,1,,0.5,0.5,0,0,,0,0,0,,0,0
2021-22,32,CHO,NBA,PG,17,219,0.433,16.2,0.517,0.133,0.225,0.1,0.058,0.483,0.468,0.563,0.259,0.667,0.714,0.397,0.517,0.783,0,0,0.276,0.375,0,0
