Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,TOT,NBA,PG,52,516,0.352,11.7,0.83,0.296,0.195,0.132,0.208,0.17,0.364,0.447,0.419,0.238,0.273,0.296,0.271,1,0.013,2,0.111,0.333,0,0
2012-13,24,ORL,NBA,PG,36,378,0.336,11.7,0.853,0.302,0.181,0.147,0.224,0.147,0.354,0.429,0.381,0.294,0.269,0.235,0.257,1,0.009,1,0.059,1,0,0
2012-13,24,MIL,NBA,PG,16,138,0.395,11.7,0.767,0.279,0.233,0.093,0.163,0.233,0.394,0.5,0.5,0,0.286,0.4,0.308,1,0.023,1,0.2,0,0,0
2013-14,25,PHO,NBA,PG,70,1006,0.423,8.4,0.918,0.388,0.288,0.1,0.139,0.082,0.457,0.569,0.37,0.429,0.359,0.043,0.153,0,0.004,1,0.348,0,0,0
2014-15,26,TOT,NBA,PG,55,832,0.39,7.8,0.837,0.322,0.417,0.076,0.022,0.163,0.407,0.551,0.346,0.214,0.125,0.3,0.2,0.722,0.005,2,0.217,0.154,0,0
2014-15,26,OKC,NBA,PG,30,155,0.333,6,0.889,0.444,0.4,0.022,0.022,0.111,0.35,0.5,0.222,0,0,0.2,0.286,1,0.022,1,0.2,0,0,0
2014-15,26,PHI,NBA,PG,25,677,0.398,8.1,0.829,0.304,0.419,0.084,0.022,0.171,0.416,0.561,0.363,0.222,0.143,0.309,0.189,0.706,0.003,1,0.218,0.167,0,0
2015-16,27,TOT,NBA,PG,77,2239,0.411,10.8,0.824,0.333,0.188,0.104,0.199,0.176,0.428,0.55,0.341,0.356,0.344,0.329,0.188,0.589,0.009,7,0.118,0.4,1,0
2015-16,27,NOP,NBA,PG,27,617,0.43,9.5,0.855,0.382,0.206,0.079,0.189,0.145,0.451,0.598,0.34,0.389,0.302,0.303,0.159,0.7,0.004,1,0.242,0.375,0,0
2015-16,27,PHI,NBA,PG,50,1622,0.405,11.2,0.815,0.318,0.183,0.112,0.202,0.185,0.42,0.532,0.341,0.349,0.356,0.336,0.198,0.565,0.011,6,0.088,0.417,1,0
2016-17,28,DET,NBA,PG,81,1955,0.439,11.8,0.86,0.294,0.171,0.142,0.252,0.14,0.467,0.573,0.328,0.491,0.429,0.267,0.116,0.75,0.005,4,0.229,0.417,2,0
2017-18,29,DET,NBA,PG,82,2043,0.486,10.9,0.874,0.257,0.222,0.191,0.203,0.126,0.506,0.67,0.382,0.516,0.423,0.347,0.203,0.629,0.002,2,0.277,0.286,3,1
2018-19,30,DET,NBA,PG,56,1251,0.419,13.6,0.724,0.194,0.241,0.127,0.162,0.276,0.455,0.611,0.407,0.371,0.405,0.326,0.106,0.705,0,0,0.2,0.444,4,0
2019-20,31,WAS,NBA,PG,68,1787,0.447,13.2,0.755,0.235,0.168,0.161,0.19,0.245,0.473,0.617,0.362,0.514,0.359,0.367,0.171,0.742,0,0,0.272,0.348,0,0
2020-21,32,WAS,NBA,PG,44,924,0.434,13,0.835,0.189,0.202,0.215,0.229,0.165,0.448,0.554,0.45,0.391,0.412,0.367,0.261,0.944,0.003,1,0.388,0.421,1,0
2021-22,33,TOT,NBA,PG,65,1126,0.43,13.3,0.844,0.2,0.172,0.205,0.267,0.156,0.441,0.5,0.392,0.364,0.487,0.373,0.181,0.72,0.002,1,0.224,0.533,1,0
2021-22,33,CHO,NBA,PG,37,511,0.395,11.7,0.865,0.254,0.211,0.205,0.195,0.135,0.394,0.489,0.282,0.368,0.417,0.4,0.238,0.8,0,0,0.24,0.5,1,0
2021-22,33,WAS,NBA,PG,28,615,0.457,14.4,0.829,0.159,0.143,0.204,0.322,0.171,0.478,0.513,0.514,0.36,0.519,0.357,0.144,0.667,0.004,1,0.214,0.556,0,0
2022-23,34,DEN,NBA,PG,43,398,0.397,13.4,0.908,0.115,0.16,0.275,0.359,0.092,0.42,0.533,0.524,0.333,0.404,0.167,0.26,1,0,0,0.167,0,0,0
