Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,28,TOT,NBA,SG,78,2379,0.434,18.9,0.488,0.145,0.056,0.055,0.232,0.513,0.506,0.648,0.408,0.375,0.471,0.366,0.71,0.879,0,0,0.137,0.387,0,0
2012-13,28,ORL,NBA,SG,50,1575,0.45,19.1,0.485,0.148,0.043,0.055,0.239,0.515,0.514,0.686,0.44,0.406,0.446,0.39,0.717,0.863,0,0,0.107,0.375,0,0
2012-13,28,MIL,NBA,SG,28,804,0.403,18.4,0.493,0.141,0.081,0.054,0.218,0.507,0.49,0.571,0.375,0.313,0.523,0.318,0.694,0.917,0,0,0.199,0.4,0,0
2013-14,29,LAC,NBA,SG,35,987,0.455,18.9,0.535,0.101,0.063,0.068,0.304,0.465,0.507,0.725,0.24,0.37,0.521,0.395,0.833,0.918,0,0,0.281,0.5,0,0
2014-15,30,LAC,NBA,SG,78,2409,0.477,19,0.512,0.091,0.049,0.068,0.304,0.488,0.515,0.624,0.413,0.469,0.509,0.437,0.887,0.96,0,0,0.286,0.443,0,0
2015-16,31,LAC,NBA,SG,75,2097,0.48,19.5,0.522,0.074,0.06,0.05,0.339,0.478,0.484,0.631,0.453,0.364,0.473,0.475,0.833,0.94,0,0,0.159,0.552,0,0
2016-17,32,LAC,NBA,SG,78,2198,0.445,20.3,0.474,0.076,0.056,0.049,0.293,0.526,0.462,0.559,0.48,0.341,0.452,0.429,0.815,0.955,0,0,0.143,0.478,0,0
2017-18,33,PHI,NBA,SG,70,2116,0.46,20.1,0.477,0.075,0.043,0.063,0.297,0.523,0.504,0.606,0.421,0.491,0.49,0.42,0.768,0.902,0,0,0.133,0.492,1,0
2018-19,34,PHI,NBA,SG,76,2379,0.44,20.9,0.411,0.081,0.045,0.045,0.241,0.589,0.502,0.639,0.348,0.435,0.498,0.397,0.83,0.95,0,0,0.129,0.397,0,0
2019-20,35,NOP,NBA,SG,60,1581,0.453,21.1,0.371,0.067,0.055,0.06,0.189,0.629,0.453,0.595,0.343,0.368,0.462,0.453,0.811,0.933,0,0,0.139,0.527,0,0
2020-21,36,TOT,NBA,SG,44,723,0.397,22.3,0.333,0.022,0.007,0.082,0.221,0.667,0.449,0.667,0.5,0.409,0.441,0.371,0.775,0.939,0,0,0.18,0.375,0,0
2020-21,36,NOP,NBA,SG,31,576,0.407,22.3,0.346,0.019,0.005,0.093,0.229,0.654,0.486,0.75,0,0.45,0.49,0.364,0.806,0.922,0,0,0.207,0.379,0,0
2020-21,36,DAL,NBA,SG,13,147,0.358,22.5,0.283,0.038,0.019,0.038,0.189,0.717,0.267,0.5,1,0,0.2,0.395,0.5,1,0,0,0.079,0.333,0,0
