Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,27,NYK,NBA,SG,80,2678,0.422,16.4,0.651,0.169,0.122,0.096,0.264,0.349,0.458,0.64,0.342,0.375,0.424,0.356,0.172,0.813,0.024,26,0.156,0.353,8,0
2013-14,28,NYK,NBA,SF,74,2421,0.415,19.3,0.497,0.123,0.066,0.06,0.249,0.503,0.436,0.607,0.381,0.368,0.382,0.394,0.198,0.905,0.019,15,0.127,0.426,10,0
2014-15,29,TOT,NBA,SG,70,2080,0.417,19.4,0.436,0.106,0.058,0.062,0.209,0.564,0.462,0.563,0.409,0.34,0.462,0.383,0.401,0.791,0.023,13,0.192,0.402,3,0
2014-15,29,NYK,NBA,SG,24,619,0.402,17.3,0.641,0.131,0.076,0.092,0.343,0.359,0.429,0.545,0.474,0.217,0.43,0.356,0.348,0.656,0.012,2,0.111,0.4,2,0
2014-15,29,CLE,NBA,SG,46,1461,0.425,20.4,0.333,0.093,0.05,0.048,0.143,0.667,0.494,0.574,0.36,0.458,0.5,0.39,0.446,0.824,0.028,11,0.214,0.403,1,0
2015-16,30,CLE,NBA,SG,77,2362,0.415,19.1,0.4,0.081,0.109,0.073,0.135,0.6,0.438,0.623,0.398,0.387,0.391,0.4,0.43,0.926,0.013,11,0.241,0.39,1,0
2016-17,31,CLE,NBA,SG,41,1187,0.346,22.1,0.239,0.067,0.034,0.039,0.101,0.761,0.329,0.625,0,0.357,0.222,0.351,0.321,0.958,0.025,8,0.284,0.455,1,0
2017-18,32,CLE,NBA,SG,80,2244,0.403,19.7,0.36,0.089,0.072,0.071,0.128,0.64,0.453,0.566,0.395,0.429,0.421,0.375,0.32,0.916,0.017,9,0.315,0.5,0,0
2018-19,33,CLE,NBA,SG,11,222,0.342,20.4,0.506,0.038,0.063,0.127,0.278,0.494,0.375,0.333,0.6,0.3,0.364,0.308,0.467,0.917,0,0,0.103,0.75,0,0
2019-20,34,LAL,NBA,SG,6,79,0.318,17.7,0.5,0.045,0.227,0.136,0.091,0.5,0.545,1,0.4,1,0,0.091,0.667,1,0,0,0.273,0,0,0
