Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,24,TOT,NBA,PF,24,164,0.574,8.4,0.872,0.574,0.085,0,0.213,0.128,0.659,0.741,1,,0.3,0,0.593,,0.128,6,0.5,0,0,0
2014-15,24,SAS,NBA,PF,4,25,0.571,10.5,0.714,0.571,0,0,0.143,0.286,0.8,1,,,0,0,0.5,,0,0,0.5,0,0,0
2014-15,24,MEM,NBA,PF,20,139,0.575,8.1,0.9,0.575,0.1,0,0.225,0.1,0.639,0.696,1,,0.333,0,0.609,,0.15,6,0.5,0,0,0
2015-16,25,MEM,NBA,PF,78,1446,0.465,8.6,0.909,0.481,0.137,0.067,0.224,0.091,0.478,0.563,0.353,0.455,0.378,0.333,0.665,1,0.133,53,0.644,0.379,1,0
2016-17,26,MEM,NBA,PF,77,2101,0.5,11.3,0.71,0.434,0.084,0.058,0.136,0.29,0.549,0.608,0.31,0.414,0.559,0.379,0.6,0.982,0.116,49,0.552,0.425,0,0
2017-18,27,MEM,NBA,PF,55,1542,0.457,10.5,0.74,0.447,0.086,0.064,0.143,0.26,0.499,0.624,0.214,0.226,0.4,0.339,0.583,0.977,0.111,48,0.417,0.358,0,0
2018-19,28,TOT,NBA,PF,65,1371,0.483,13,0.63,0.345,0.134,0.055,0.097,0.37,0.53,0.652,0.328,0.5,0.391,0.403,0.623,0.958,0.092,37,0.278,0.449,0,0
2018-19,28,MEM,NBA,PF,41,900,0.484,11.9,0.692,0.369,0.147,0.061,0.115,0.308,0.523,0.643,0.304,0.474,0.444,0.396,0.69,0.974,0.112,28,0.333,0.344,0,0
2018-19,28,LAC,NBA,PF,24,471,0.482,15.1,0.512,0.299,0.11,0.043,0.061,0.488,0.548,0.673,0.389,0.571,0.2,0.413,0.457,0.939,0.055,9,0.213,0.647,0,0
2019-20,29,LAC,NBA,PF,63,1307,0.429,18.4,0.324,0.205,0.085,0.014,0.02,0.676,0.518,0.611,0.333,0.6,0.286,0.387,0.576,1,0.04,12,0.231,0.4,0,0
2020-21,30,DEN,NBA,PF,58,1120,0.463,15.5,0.471,0.249,0.158,0.027,0.037,0.529,0.534,0.688,0.407,0.2,0.286,0.399,0.585,1,0.096,27,0.273,0.444,0,0
2021-22,31,DEN,NBA,PF,67,1085,0.486,12.1,0.621,0.391,0.156,0.034,0.04,0.379,0.621,0.734,0.392,0.273,0.692,0.266,0.69,1,0.217,61,0.306,0.342,2,0
2022-23,32,GSW,NBA,PF,57,797,0.54,12.8,0.56,0.345,0.171,0.016,0.028,0.44,0.667,0.701,0.674,0.5,0.286,0.378,0.66,1,0.246,52,0.387,0.372,0,0
