Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,DEN,NBA,C,79,1433,0.575,3.9,0.998,0.647,0.237,0.078,0.036,0.002,0.574,0.704,0.352,0.366,0.158,1,0.689,1,0.37,175,0,,0,0
2013-14,26,DEN,NBA,C,5,79,0.447,5.6,1,0.5,0.289,0.105,0.105,0,0.447,0.632,0.182,0.75,0,,0.647,,0.237,9,,,0,0
2014-15,27,TOT,NBA,C,23,256,0.532,4.1,1,0.557,0.266,0.127,0.051,0,0.532,0.727,0.429,0.1,0,,0.81,,0.266,18,,,0,0
2014-15,27,DEN,NBA,C,17,195,0.557,3.1,1,0.59,0.311,0.082,0.016,0,0.557,0.694,0.421,0.2,0,,0.824,,0.262,13,,,0,0
2014-15,27,PHI,NBA,C,6,61,0.444,7.6,1,0.444,0.111,0.278,0.167,0,0.444,0.875,0.5,0,0,,0.75,,0.278,5,,,0,0
2015-16,28,DAL,NBA,C,34,370,0.575,3.6,0.993,0.664,0.179,0.067,0.082,0.007,0.579,0.719,0.25,0.111,0.545,0,0.701,,0.388,49,0,,0,0
2016-17,29,GSW,NBA,C,77,739,0.652,2.5,0.991,0.777,0.188,0.019,0.003,0.009,0.658,0.73,0.4,0.5,0,0,0.769,,0.417,121,0,,1,0
2017-18,30,GSW,NBA,C,65,615,0.621,4.4,0.973,0.621,0.215,0.073,0.064,0.027,0.638,0.75,0.489,0.25,0.5,0,0.824,,0.356,75,0.167,0,0,0
2018-19,31,LAL,NBA,C,75,1671,0.624,4,0.981,0.637,0.262,0.058,0.025,0.019,0.634,0.762,0.399,0.351,0.5,0.083,0.779,1,0.337,201,0.083,0,1,0
2019-20,32,LAL,NBA,C,68,1130,0.637,3.6,0.98,0.686,0.239,0.049,0.007,0.02,0.64,0.743,0.384,0.467,0.5,0.5,0.719,0.667,0.392,112,0,,1,0
2020-21,33,TOT,NBA,C,46,678,0.511,6.6,0.915,0.433,0.379,0.085,0.018,0.085,0.539,0.689,0.43,0.292,0.4,0.208,0.59,1,0.167,44,0.167,0.25,0,0
2020-21,33,CLE,NBA,C,33,503,0.521,6.7,0.907,0.423,0.391,0.074,0.019,0.093,0.549,0.67,0.464,0.313,0.5,0.25,0.579,1,0.163,33,0.2,0.25,0,0
2020-21,33,DEN,NBA,C,13,175,0.478,6.2,0.94,0.463,0.343,0.119,0.015,0.06,0.508,0.742,0.304,0.25,0,0,0.625,,0.179,11,0,,0,0
2021-22,34,PHO,NBA,C,74,1172,0.629,4.3,0.98,0.535,0.371,0.052,0.022,0.02,0.637,0.706,0.588,0.375,0.4,0.222,0.692,1,0.229,100,0,,0,0
2022-23,35,DAL,NBA,C,42,355,0.64,4,0.96,0.56,0.368,0.032,0,0.04,0.65,0.814,0.413,0.5,,0.4,0.808,1,0.296,34,0,,0,0
