Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,30,ORL,NBA,PG,56,1977,0.392,16.5,0.545,0.217,0.108,0.073,0.147,0.455,0.435,0.574,0.429,0.263,0.322,0.341,0.168,0.579,0,0,0.085,0.433,1,0
2013-14,31,ORL,NBA,PG,68,2179,0.394,17.6,0.477,0.195,0.108,0.052,0.12,0.523,0.444,0.596,0.383,0.41,0.267,0.348,0.278,0.515,0,0,0.09,0.257,0,0
2014-15,32,TOT,NBA,PG,63,1407,0.407,17.8,0.488,0.149,0.105,0.05,0.185,0.512,0.472,0.693,0.321,0.44,0.387,0.345,0.259,0.551,0,0,0.097,0.48,0,0
2014-15,32,DAL,NBA,PG,23,584,0.374,18.7,0.368,0.117,0.129,0.012,0.11,0.632,0.383,0.737,0.286,0,0.167,0.369,0.304,0.579,0,0,0.126,0.231,0,0
2014-15,32,BOS,NBA,PG,6,121,0.22,18.9,0.39,0.146,0.073,0.049,0.122,0.61,0.25,0.333,0.333,0,0.2,0.2,0,0.4,0,0,0.04,0,0,0
2014-15,32,DEN,NBA,PG,34,702,0.45,17.1,0.567,0.167,0.097,0.07,0.233,0.433,0.524,0.72,0.345,0.524,0.457,0.354,0.258,0.543,0,0,0.085,0.818,0,0
2015-16,33,DEN,NBA,PG,39,1036,0.368,17.3,0.531,0.15,0.107,0.052,0.221,0.469,0.429,0.63,0.273,0.375,0.382,0.299,0.2,0.512,0,0,0.076,0.273,0,0
2016-17,34,DEN,NBA,PG,75,2045,0.444,17.1,0.548,0.212,0.079,0.056,0.2,0.452,0.489,0.594,0.479,0.324,0.43,0.388,0.327,0.726,0,0,0.103,0.286,1,0
2017-18,35,TOT,NBA,PG,50,1013,0.389,18.5,0.492,0.139,0.07,0.082,0.201,0.508,0.45,0.676,0.294,0.35,0.388,0.331,0.389,0.634,0,0,0.137,0.294,1,0
2017-18,35,NOP,NBA,PG,43,897,0.41,18.8,0.463,0.141,0.059,0.083,0.18,0.537,0.463,0.621,0.333,0.412,0.405,0.364,0.386,0.65,0,0,0.145,0.313,1,0
2017-18,35,DET,NBA,PG,7,116,0.282,16.9,0.641,0.128,0.128,0.077,0.308,0.359,0.4,1,0.2,0,0.333,0.071,0.4,0,0,0,0.071,0,0,0
