Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,24,MIA,NBA,SF,62,1051,0.409,12.7,0.615,0.372,0.105,0.024,0.113,0.385,0.461,0.587,0.269,0.333,0.25,0.326,0.6,0.935,0.093,20,0.453,0.349,1,0
2015-16,25,TOT,NBA,SF,22,329,0.478,14.3,0.487,0.372,0.044,0.009,0.062,0.513,0.509,0.595,0.2,0,0.286,0.448,0.714,0.885,0.097,10,0.276,0.563,0,0
2015-16,25,MIA,NBA,SF,3,7,,,,,,,,,,,,,,,,,,0,,,0,0
2015-16,25,MEM,NBA,SF,10,40,0.308,18.1,0.385,0.231,0,0,0.154,0.615,0.4,0.667,,,0,0.25,0.5,1,0.077,1,0.125,1,0,0
2015-16,25,NOP,NBA,SF,9,282,0.5,13.8,0.5,0.39,0.05,0.01,0.05,0.5,0.52,0.59,0.2,0,0.4,0.48,0.731,0.875,0.1,9,0.3,0.533,0,0
2016-17,26,MEM,NBA,SF,64,1501,0.455,13.1,0.573,0.421,0.075,0.012,0.065,0.427,0.516,0.6,0.25,0.5,0.286,0.372,0.621,0.941,0.059,17,0.409,0.393,1,0
2017-18,27,TOT,NBA,SF,72,1604,0.474,12.7,0.602,0.349,0.12,0.07,0.063,0.398,0.567,0.716,0.261,0.519,0.375,0.333,0.695,1,0.078,26,0.333,0.333,0,0
2017-18,27,MEM,NBA,SF,45,1053,0.486,12.5,0.622,0.365,0.099,0.086,0.072,0.378,0.565,0.716,0.273,0.421,0.375,0.357,0.641,1,0.095,18,0.345,0.379,0,0
2017-18,27,DET,NBA,SF,27,551,0.457,13.1,0.574,0.327,0.148,0.049,0.049,0.426,0.57,0.717,0.25,0.75,0.375,0.304,0.774,1,0.056,8,0.319,0.273,0,0
2018-19,28,TOT,NBA,SF,58,1230,0.469,14.3,0.469,0.367,0.075,0.017,0.01,0.531,0.601,0.667,0.364,0.4,0.333,0.353,0.723,0.982,0.082,22,0.506,0.392,0,0
2018-19,28,HOU,NBA,SF,40,949,0.493,14.9,0.431,0.355,0.071,0,0.005,0.569,0.659,0.707,0.4,,1,0.367,0.717,0.977,0.076,16,0.475,0.421,0,0
2018-19,28,PHI,NBA,SF,18,281,0.41,12.6,0.566,0.398,0.084,0.06,0.024,0.434,0.489,0.576,0.286,0.4,0,0.306,0.739,1,0.096,6,0.611,0.318,0,0
2019-20,29,TOT,NBA,"SF,SG",69,1265,0.446,14,0.529,0.373,0.089,0.039,0.028,0.471,0.553,0.649,0.313,0.286,0.4,0.325,0.667,0.891,0.075,21,0.337,0.404,2,0
2019-20,29,PHI,NBA,SF,49,776,0.442,13.6,0.531,0.381,0.097,0.027,0.027,0.469,0.525,0.651,0.182,0,0.5,0.349,0.698,1,0.093,17,0.415,0.432,1,0
2019-20,29,ORL,NBA,SG,20,489,0.451,14.6,0.526,0.361,0.075,0.06,0.03,0.474,0.6,0.646,0.6,0.5,0.25,0.286,0.619,0.667,0.045,4,0.206,0.308,1,0
2020-21,30,ORL,NBA,SF,41,986,0.473,13.8,0.572,0.251,0.222,0.066,0.033,0.428,0.504,0.639,0.352,0.5,0.5,0.433,0.586,0.933,0.041,9,0.24,0.48,0,0
2021-22,31,TOT,NBA,SF,7,56,0.458,10.6,0.667,0.542,0.083,0,0.042,0.333,0.5,0.538,0.5,,0,0.375,0.75,1,0,0,0.125,0,0,0
2021-22,31,BRK,NBA,SF,2,14,0.286,8.3,0.714,0.714,0,0,0,0.286,0.2,0.2,,,,0.5,1,1,0,0,0,,0,0
2021-22,31,LAC,NBA,SF,2,28,0.636,12.3,0.636,0.455,0.091,0,0.091,0.364,0.714,1,0,,0,0.5,0.8,1,0,0,0,,0,0
2021-22,31,DEN,NBA,SF,3,14,0.333,10,0.667,0.5,0.167,0,0,0.333,0.5,0.333,1,,,0,0.5,,0,0,0.5,0,0,0
