Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,HOU,NBA,SG,78,2985,0.438,13.7,0.636,0.308,0.149,0.049,0.13,0.364,0.477,0.65,0.296,0.318,0.333,0.368,0.241,0.475,0.035,46,0.033,0.25,3,1
2013-14,24,HOU,NBA,SG,73,2777,0.456,14.8,0.599,0.273,0.122,0.079,0.125,0.401,0.515,0.632,0.395,0.463,0.411,0.366,0.223,0.588,0.039,45,0.066,0.375,1,0
2014-15,25,HOU,NBA,SG,81,2981,0.44,13.5,0.622,0.311,0.106,0.074,0.131,0.378,0.48,0.615,0.295,0.431,0.337,0.375,0.166,0.51,0.023,33,0.108,0.467,1,0
2015-16,26,HOU,NBA,SG,82,3125,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,0.494,0.65,0.328,0.426,0.402,0.359,0.181,0.521,0.011,16,0.094,0.274,0,0
2016-17,27,HOU,NBA,PG,81,2947,0.44,15.9,0.507,0.242,0.134,0.076,0.053,0.493,0.53,0.682,0.364,0.419,0.427,0.347,0.095,0.317,0.014,21,0.056,0.357,3,0
2017-18,28,HOU,NBA,SG,72,2551,0.449,15.3,0.502,0.273,0.118,0.071,0.039,0.498,0.531,0.658,0.351,0.437,0.368,0.367,0.088,0.26,0.013,19,0.072,0.327,2,0
2018-19,29,HOU,NBA,PG,78,2867,0.442,16.4,0.461,0.235,0.166,0.042,0.018,0.539,0.528,0.6,0.467,0.444,0.343,0.368,0.105,0.161,0.012,20,0.079,0.358,1,0
2019-20,30,HOU,NBA,SG,68,2483,0.444,16.6,0.443,0.243,0.177,0.018,0.005,0.557,0.556,0.668,0.414,0.444,0.5,0.355,0.139,0.171,0.015,20,0.045,0.342,1,0
2020-21,31,TOT,NBA,PG,44,1609,0.466,14.5,0.545,0.238,0.257,0.04,0.01,0.455,0.553,0.674,0.455,0.448,0.571,0.362,0.167,0.248,0.007,4,0.045,0.333,2,0
2020-21,31,HOU,NBA,PG,8,290,0.444,15.7,0.467,0.311,0.133,0.022,0,0.533,0.556,0.69,0.278,0.333,,0.347,0.2,0.28,0.007,1,0.056,0.25,1,0
2020-21,31,BRK,NBA,PG,36,1319,0.471,14.2,0.563,0.222,0.285,0.043,0.012,0.437,0.552,0.669,0.474,0.462,0.571,0.366,0.161,0.24,0.007,3,0.042,0.364,1,0
2021-22,32,TOT,NBA,PG,65,2420,0.41,14.6,0.548,0.231,0.232,0.061,0.024,0.452,0.476,0.598,0.37,0.426,0.458,0.33,0.189,0.257,0.006,6,0.049,0.273,0,0
2021-22,32,BRK,NBA,PG,44,1627,0.414,14.2,0.565,0.239,0.242,0.061,0.023,0.435,0.476,0.574,0.386,0.419,0.563,0.332,0.158,0.235,0.008,6,0.052,0.188,0,0
2021-22,32,PHI,NBA,PG,21,792,0.402,15.6,0.507,0.21,0.206,0.063,0.028,0.493,0.476,0.667,0.322,0.444,0.25,0.326,0.275,0.304,0,0,0.043,0.5,0,0
2022-23,33,PHI,NBA,PG,58,2135,0.441,16.4,0.504,0.162,0.188,0.106,0.043,0.496,0.495,0.618,0.418,0.438,0.528,0.385,0.129,0.416,0.001,1,0.05,0.429,0,0
