Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,25,SAC,NBA,SF,54,878,0.413,9.3,0.926,0.389,0.226,0.053,0.258,0.074,0.439,0.582,0.406,0.2,0.301,0.095,0.47,1,0.081,21,0.381,0.125,1,0
2013-14,26,MEM,NBA,SF,52,956,0.464,10.4,0.718,0.477,0.136,0.029,0.075,0.282,0.548,0.612,0.429,0.778,0.261,0.253,0.347,0.955,0.146,42,0.264,0.348,1,0
2014-15,27,TOR,NBA,PF,70,1370,0.589,6.3,0.874,0.532,0.238,0.042,0.062,0.126,0.643,0.763,0.51,0.235,0.4,0.216,0.458,1,0.126,50,0.471,0.292,0,0
2015-16,28,TOR,NBA,PF,57,926,0.475,9.3,0.725,0.475,0.167,0.029,0.054,0.275,0.54,0.632,0.4,0.286,0.308,0.303,0.34,1,0.067,16,0.515,0.265,1,0
2016-17,29,MIA,NBA,PF,76,2085,0.479,12.4,0.667,0.354,0.159,0.083,0.073,0.333,0.548,0.632,0.451,0.469,0.429,0.34,0.306,0.931,0.049,36,0.336,0.384,5,0
2017-18,30,MIA,NBA,PF,73,1943,0.503,10.9,0.699,0.383,0.181,0.064,0.072,0.301,0.587,0.698,0.486,0.436,0.386,0.308,0.413,0.912,0.094,49,0.378,0.314,1,0
2018-19,31,MIA,NBA,PF,55,1164,0.433,13.2,0.607,0.314,0.187,0.069,0.037,0.393,0.496,0.622,0.408,0.269,0.286,0.336,0.518,0.86,0.069,23,0.282,0.381,3,0
2019-20,32,TOT,NBA,"C,PF",32,619,0.479,13.2,0.577,0.372,0.153,0.042,0.009,0.423,0.565,0.713,0.303,0.222,0.5,0.363,0.457,0.879,0.07,12,0.176,0.313,2,0
2019-20,32,MIA,NBA,PF,18,281,0.448,15,0.483,0.31,0.161,0.011,0,0.517,0.548,0.741,0.143,1,,0.356,0.609,0.938,0.126,8,0.244,0.364,1,0
2019-20,32,MIN,NBA,C,14,338,0.5,11.9,0.641,0.414,0.148,0.063,0.016,0.359,0.573,0.698,0.421,0.125,0.5,0.37,0.383,0.824,0.031,4,0.109,0.2,1,0
2020-21,33,TOT,NBA,PF,51,1043,0.446,11.7,0.633,0.364,0.205,0.049,0.015,0.367,0.556,0.672,0.403,0.313,0.6,0.258,0.557,0.935,0.043,12,0.433,0.231,1,0
2020-21,33,DAL,NBA,PF,29,504,0.462,12.6,0.586,0.345,0.2,0.028,0.014,0.414,0.612,0.74,0.414,0.5,0.5,0.25,0.558,1,0.034,5,0.533,0.219,1,0
2020-21,33,NOP,NBA,PF,22,539,0.434,11,0.67,0.379,0.209,0.066,0.016,0.33,0.516,0.623,0.395,0.25,0.667,0.267,0.556,0.875,0.049,7,0.333,0.25,0,0
2021-22,34,BRK,NBA,PF,62,1191,0.469,9.4,0.723,0.476,0.192,0.033,0.023,0.277,0.545,0.651,0.39,0.2,0.143,0.271,0.512,0.913,0.091,25,0.376,0.313,0,0
2022-23,35,IND,NBA,PF,18,162,0.449,11.4,0.694,0.388,0.204,0.041,0.061,0.306,0.559,0.632,0.4,0.5,0.667,0.2,0.421,1,0.082,4,0.533,0.125,0,0
