Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,NOH,NBA,C,51,876,0.49,12.3,0.988,0.243,0.1,0.173,0.472,0.012,0.496,0.602,0.353,0.424,0.497,0,0.85,,0.067,20,0.25,0,1,0
2013-14,27,NOP,NBA,PF,31,830,0.465,14,1,0.17,0.092,0.124,0.613,0,0.465,0.563,0.385,0.343,0.474,,0.847,,0.018,5,,,0,0
2014-15,28,NYK,NBA,C,82,1785,0.434,13.5,0.929,0.145,0.132,0.206,0.446,0.071,0.44,0.488,0.359,0.475,0.432,0.357,0.727,1,0.008,5,0.857,0.417,0,0
2015-16,29,ORL,NBA,C,76,1181,0.485,15,0.968,0.137,0.058,0.121,0.652,0.032,0.493,0.58,0.379,0.574,0.47,0.25,0.888,1,0.008,4,0.438,0.429,0,0
2016-17,30,WAS,NBA,C,74,1068,0.529,15.8,0.763,0.173,0.076,0.097,0.416,0.237,0.546,0.667,0.4,0.531,0.526,0.474,0.854,1,0.043,11,0.449,0.457,0,0
2017-18,31,WAS,NBA,C,33,285,0.391,14.6,0.722,0.209,0.096,0.13,0.287,0.278,0.494,0.708,0.182,0.4,0.485,0.125,0.854,1,0.043,5,0.344,0,0,0
2018-19,32,TOT,NBA,"C,PF",20,190,0.356,15.1,0.559,0.322,0.034,0.085,0.119,0.441,0.364,0.474,0,0.2,0.286,0.346,0.917,1,0.051,3,0.192,0.4,0,0
2018-19,32,WAS,NBA,C,12,130,0.405,12.6,0.73,0.378,0.054,0.108,0.189,0.27,0.407,0.571,0,0.25,0.286,0.4,0.909,1,0.081,3,0.3,0,0,0
2018-19,32,MIL,NBA,PF,6,40,0.308,18.7,0.308,0.231,0,0.077,0,0.692,0.25,0.333,,0,,0.333,1,1,0,0,0.111,1,0,0
2018-19,32,NOP,NBA,C,2,20,0.222,19.9,0.222,0.222,0,0,0,0.778,0,0,,,,0.286,,1,0,0,0.143,1,0,0
