Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,26,BOS,NBA,PF,81,2252,0.467,11.5,0.774,0.371,0.159,0.067,0.177,0.226,0.49,0.659,0.258,0.389,0.385,0.385,0.497,0.957,0.067,50,0.577,0.457,7,0
2013-14,27,BOS,NBA,SF,82,2805,0.412,14.6,0.662,0.244,0.148,0.088,0.182,0.338,0.448,0.647,0.376,0.252,0.333,0.341,0.458,0.867,0.044,46,0.27,0.393,5,0
2014-15,28,TOT,NBA,SF,78,2454,0.43,12.6,0.698,0.266,0.208,0.1,0.124,0.302,0.473,0.623,0.433,0.361,0.308,0.332,0.498,0.856,0.069,55,0.267,0.423,5,0
2014-15,28,BOS,NBA,SF,33,1093,0.434,13.3,0.676,0.236,0.196,0.116,0.128,0.324,0.495,0.643,0.484,0.364,0.361,0.305,0.503,0.894,0.061,27,0.214,0.394,2,0
2014-15,28,MEM,NBA,SF,45,1361,0.427,11.8,0.72,0.295,0.22,0.085,0.12,0.28,0.452,0.607,0.389,0.357,0.254,0.362,0.494,0.82,0.077,28,0.326,0.444,3,0
2015-16,29,TOT,NBA,SF,80,2253,0.43,11.3,0.742,0.308,0.218,0.09,0.125,0.258,0.47,0.602,0.344,0.486,0.35,0.315,0.401,0.896,0.063,47,0.343,0.329,4,0
2015-16,29,MEM,NBA,SF,53,1544,0.431,11.3,0.756,0.314,0.206,0.102,0.133,0.244,0.47,0.583,0.383,0.491,0.324,0.309,0.399,0.833,0.072,35,0.287,0.333,4,0
2015-16,29,LAC,NBA,SF,27,709,0.427,11.4,0.712,0.296,0.243,0.064,0.109,0.288,0.468,0.646,0.277,0.471,0.414,0.325,0.404,1,0.045,12,0.442,0.324,0,0
2016-17,30,ORL,NBA,PF,69,1534,0.394,14.8,0.654,0.233,0.174,0.111,0.136,0.346,0.458,0.562,0.433,0.419,0.342,0.275,0.437,0.943,0.02,10,0.176,0.324,7,0
2017-18,31,CLE,NBA,PF,78,1828,0.477,11.2,0.725,0.398,0.146,0.087,0.095,0.275,0.54,0.699,0.367,0.259,0.39,0.312,0.583,0.962,0.115,63,0.4,0.338,8,0
2018-19,32,WAS,NBA,PF,77,2097,0.475,15.9,0.534,0.242,0.124,0.08,0.089,0.466,0.586,0.771,0.471,0.364,0.443,0.347,0.614,0.973,0.063,39,0.281,0.389,4,0
2019-20,33,TOT,NBA,"C,PF",48,960,0.462,16,0.468,0.265,0.16,0.026,0.017,0.532,0.602,0.747,0.436,0.333,0.333,0.339,0.67,0.952,0.09,27,0.388,0.38,7,0
2019-20,33,UTA,NBA,PF,30,553,0.385,16.8,0.467,0.2,0.2,0.041,0.026,0.533,0.451,0.564,0.41,0.25,0.2,0.327,0.61,0.941,0.062,8,0.375,0.41,5,0
2019-20,33,HOU,NBA,C,18,407,0.564,15,0.47,0.349,0.107,0.007,0.007,0.53,0.8,0.885,0.5,1,1,0.354,0.714,0.964,0.128,19,0.405,0.344,2,0
2020-21,34,BRK,NBA,PF,68,1835,0.492,14.4,0.528,0.281,0.149,0.072,0.026,0.472,0.564,0.725,0.329,0.526,0.286,0.412,0.728,0.951,0.077,39,0.42,0.438,3,0
2021-22,35,DEN,NBA,PF,75,1849,0.524,11.3,0.682,0.342,0.233,0.078,0.03,0.318,0.62,0.79,0.496,0.415,0.188,0.315,0.821,0.981,0.153,74,0.548,0.315,2,0
2022-23,36,DEN,NBA,PF,56,1091,0.488,11.5,0.683,0.302,0.271,0.067,0.034,0.317,0.58,0.768,0.427,0.409,0.364,0.288,0.785,0.9,0.146,43,0.365,0.421,2,0
