Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,24,ATL,NBA,PG,80,2628,0.451,11.4,0.745,0.337,0.213,0.077,0.119,0.255,0.482,0.595,0.386,0.427,0.371,0.359,0.203,0.719,0.022,19,0.097,0.375,0,0
2013-14,25,ATL,NBA,PG,79,2542,0.438,10.9,0.784,0.308,0.255,0.117,0.104,0.216,0.469,0.606,0.381,0.377,0.38,0.329,0.199,0.595,0.009,8,0.111,0.4,2,0
2014-15,26,ATL,NBA,PG,73,2228,0.46,10,0.767,0.364,0.234,0.085,0.083,0.233,0.496,0.619,0.365,0.413,0.405,0.343,0.193,0.69,0.024,20,0.116,0.333,0,0
2015-16,27,ATL,NBA,PG,79,2255,0.439,11,0.722,0.372,0.156,0.098,0.094,0.278,0.454,0.563,0.338,0.412,0.269,0.4,0.167,0.636,0.005,4,0.105,0.448,0,0
2016-17,28,IND,NBA,PG,82,2657,0.442,12.4,0.723,0.237,0.295,0.099,0.091,0.277,0.475,0.558,0.407,0.5,0.458,0.357,0.096,0.6,0.002,2,0.091,0.304,3,0
2017-18,29,MIN,NBA,PG,70,2311,0.446,12.3,0.713,0.209,0.272,0.157,0.073,0.287,0.477,0.651,0.394,0.44,0.379,0.368,0.104,0.56,0.013,9,0.096,0.409,0,0
2018-19,30,MIN,NBA,PG,42,1264,0.423,11.7,0.748,0.26,0.276,0.139,0.072,0.252,0.453,0.583,0.357,0.483,0.3,0.333,0.106,0.629,0.022,8,0.038,0.25,0,0
2019-20,31,TOT,NBA,PG,59,1464,0.436,10.9,0.761,0.303,0.297,0.123,0.039,0.239,0.457,0.574,0.407,0.317,0.368,0.368,0.159,0.465,0.01,4,0.085,0.5,0,0
2019-20,31,MIN,NBA,PG,34,945,0.448,11.1,0.731,0.296,0.315,0.102,0.019,0.269,0.473,0.531,0.431,0.394,0.667,0.379,0.134,0.424,0.003,1,0.08,0.286,0,0
2019-20,31,ATL,NBA,PG,25,519,0.412,10.5,0.818,0.315,0.261,0.164,0.079,0.182,0.43,0.654,0.349,0.222,0.231,0.333,0.207,0.6,0.024,3,0.1,1,0,0
2020-21,32,TOT,NBA,PG,55,950,0.433,12.7,0.711,0.19,0.324,0.116,0.081,0.289,0.431,0.648,0.38,0.394,0.174,0.439,0.161,0.639,0.007,1,0.183,0.4,0,0
2020-21,32,BOS,NBA,PG,34,616,0.415,13.3,0.702,0.16,0.335,0.112,0.096,0.298,0.394,0.633,0.381,0.286,0.167,0.464,0.192,0.615,0.005,0,0.196,0.455,0,0
2020-21,32,MIL,NBA,PG,21,334,0.469,11.6,0.729,0.25,0.302,0.125,0.052,0.271,0.5,0.667,0.379,0.583,0.2,0.385,0.114,0.7,0.01,1,0.154,0.25,0,0
