Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,20,PHI,NBA,SF,65,1377,0.352,13.6,0.557,0.321,0.131,0.037,0.068,0.443,0.383,0.54,0.109,0.231,0.25,0.314,0.613,0.98,0.082,27,0.276,0.372,0,0
2015-16,21,PHI,NBA,PF,77,2066,0.419,8.4,0.756,0.491,0.184,0.047,0.035,0.244,0.477,0.619,0.209,0.179,0.286,0.24,0.685,1,0.137,73,0.5,0.288,0,0
2016-17,22,TOT,NBA,PF,80,1531,0.463,12,0.646,0.375,0.131,0.049,0.091,0.354,0.514,0.642,0.395,0.25,0.3,0.371,0.651,0.977,0.149,47,0.552,0.438,0,0
2016-17,22,PHI,NBA,PF,2,41,0.353,11.5,0.882,0.294,0.176,0.059,0.353,0.118,0.4,0.6,0.333,0,0.333,0,1,,0.059,1,0.5,0,0,0
2016-17,22,OKC,NBA,PF,78,1490,0.469,12.1,0.633,0.379,0.129,0.048,0.077,0.367,0.523,0.644,0.4,0.267,0.292,0.377,0.631,0.977,0.154,46,0.553,0.444,0,0
2017-18,23,OKC,NBA,PF,81,1647,0.535,7.8,0.759,0.586,0.121,0.022,0.031,0.241,0.613,0.685,0.327,0.5,0.429,0.291,0.731,0.938,0.184,70,0.5,0.273,2,0
2018-19,24,OKC,NBA,PF,80,2612,0.497,11.4,0.644,0.42,0.141,0.045,0.038,0.356,0.555,0.679,0.293,0.324,0.419,0.392,0.786,0.991,0.136,101,0.515,0.397,2,0
2019-20,25,DEN,NBA,PF,71,1892,0.478,13.5,0.603,0.306,0.164,0.069,0.063,0.397,0.537,0.686,0.413,0.409,0.275,0.389,0.766,1,0.109,63,0.294,0.338,1,0
2020-21,26,DET,NBA,SF,54,1829,0.429,14.6,0.647,0.207,0.197,0.1,0.143,0.353,0.473,0.668,0.386,0.366,0.383,0.35,0.537,0.93,0.044,37,0.198,0.369,0,0
2021-22,27,DET,NBA,PF,47,1500,0.426,15.2,0.637,0.202,0.149,0.106,0.18,0.363,0.465,0.631,0.442,0.243,0.429,0.358,0.498,0.967,0.049,29,0.358,0.33,1,0
2022-23,28,POR,NBA,PF,63,2246,0.475,13.9,0.607,0.264,0.141,0.085,0.103,0.393,0.523,0.68,0.419,0.397,0.383,0.401,0.569,0.944,0.083,70,0.357,0.375,0,0
