Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,CHI,NBA,SF,82,2134,0.467,11.7,0.795,0.391,0.096,0.078,0.23,0.205,0.489,0.68,0.224,0.275,0.347,0.381,0.638,0.975,0.092,45,0.6,0.365,3,0
2013-14,24,CHI,NBA,SG,67,2591,0.397,14.6,0.654,0.3,0.071,0.085,0.198,0.346,0.457,0.596,0.204,0.407,0.358,0.283,0.594,0.985,0.043,29,0.3,0.431,4,0
2014-15,25,CHI,NBA,SG,65,2513,0.462,11.8,0.788,0.336,0.121,0.121,0.212,0.212,0.484,0.624,0.345,0.427,0.373,0.378,0.569,0.918,0.058,49,0.244,0.447,2,0
2015-16,26,CHI,NBA,SG,67,2474,0.454,12,0.802,0.313,0.12,0.131,0.236,0.198,0.489,0.673,0.363,0.36,0.385,0.312,0.441,0.719,0.071,69,0.176,0.361,6,1
2016-17,27,CHI,NBA,SF,76,2809,0.455,12.9,0.802,0.282,0.125,0.164,0.232,0.198,0.477,0.612,0.513,0.376,0.366,0.367,0.365,0.637,0.038,44,0.153,0.553,3,0
2017-18,28,MIN,NBA,SG,59,2164,0.474,12.1,0.783,0.251,0.168,0.208,0.155,0.217,0.509,0.662,0.49,0.432,0.385,0.35,0.332,0.757,0.047,41,0.205,0.439,2,0
2018-19,29,TOT,NBA,"SF,SG",65,2185,0.462,11.7,0.787,0.315,0.167,0.156,0.148,0.213,0.494,0.716,0.311,0.404,0.321,0.347,0.481,0.672,0.079,69,0.238,0.348,1,0
2018-19,29,MIN,NBA,SG,10,361,0.471,12.3,0.713,0.299,0.172,0.166,0.076,0.287,0.509,0.702,0.333,0.423,0.333,0.378,0.333,0.529,0.076,12,0.267,0.5,1,0
2018-19,29,PHI,NBA,SF,55,1824,0.461,11.5,0.802,0.319,0.166,0.154,0.163,0.198,0.491,0.718,0.306,0.4,0.32,0.338,0.51,0.72,0.079,57,0.23,0.294,0,0
2019-20,30,MIA,NBA,SF,58,1959,0.455,10,0.843,0.34,0.257,0.15,0.095,0.157,0.495,0.655,0.426,0.386,0.278,0.244,0.402,0.552,0.074,55,0.193,0.217,4,0
2020-21,31,MIA,NBA,SF,52,1745,0.497,9.3,0.861,0.327,0.289,0.166,0.079,0.139,0.538,0.722,0.441,0.426,0.362,0.245,0.358,0.68,0.053,39,0.333,0.265,2,0
2021-22,32,MIA,NBA,SF,57,1931,0.48,9.6,0.86,0.306,0.291,0.195,0.068,0.14,0.52,0.701,0.415,0.457,0.339,0.233,0.377,0.778,0.051,38,0.466,0.278,2,0
2022-23,33,MIA,NBA,PF,64,2138,0.539,8.3,0.884,0.314,0.341,0.158,0.055,0.116,0.564,0.703,0.492,0.5,0.408,0.35,0.377,0.694,0.068,54,0.534,0.345,1,0
