Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,31,BRK,NBA,SG,72,2642,0.423,16.4,0.625,0.077,0.206,0.144,0.197,0.375,0.452,0.494,0.488,0.421,0.42,0.375,0.273,0.905,0.001,1,0.357,0.418,1,0
2013-14,32,BRK,NBA,SG,79,2575,0.454,16.2,0.603,0.077,0.26,0.129,0.138,0.397,0.489,0.705,0.502,0.473,0.357,0.401,0.25,0.846,0.001,0,0.411,0.446,4,0
2014-15,33,BRK,NBA,SG,80,2791,0.435,14.5,0.671,0.098,0.279,0.136,0.159,0.329,0.472,0.57,0.524,0.41,0.374,0.359,0.231,0.893,0.001,1,0.285,0.333,2,0
2015-16,34,TOT,NBA,SF,81,2703,0.439,15.5,0.636,0.075,0.246,0.156,0.159,0.364,0.471,0.594,0.474,0.507,0.372,0.383,0.206,0.892,0,0,0.339,0.415,3,0
2015-16,34,BRK,NBA,SF,57,1934,0.406,16,0.623,0.063,0.232,0.156,0.173,0.377,0.427,0.579,0.426,0.474,0.333,0.371,0.241,0.906,0,0,0.279,0.422,2,0
2015-16,34,MIA,NBA,SF,24,769,0.518,14.2,0.665,0.104,0.279,0.155,0.127,0.335,0.569,0.615,0.571,0.59,0.5,0.417,0.147,0.857,0,0,0.5,0.405,1,0
2016-17,35,UTA,NBA,SF,78,1843,0.436,16.5,0.588,0.077,0.224,0.126,0.157,0.412,0.454,0.708,0.457,0.405,0.378,0.411,0.15,0.858,0,0,0.326,0.44,1,1
2017-18,36,TOT,NBA,SF,55,1205,0.406,16.2,0.597,0.033,0.244,0.189,0.131,0.403,0.493,0.667,0.523,0.471,0.426,0.276,0.226,0.975,0.003,0,0.386,0.321,1,0
2017-18,36,UTA,NBA,SF,32,700,0.42,16,0.628,0.031,0.243,0.208,0.146,0.372,0.507,0.714,0.545,0.447,0.485,0.274,0.25,0.957,0.004,0,0.381,0.281,0,0
2017-18,36,HOU,NBA,SF,23,505,0.381,16.5,0.545,0.037,0.246,0.157,0.104,0.455,0.466,0.6,0.485,0.524,0.286,0.279,0.176,1,0,0,0.393,0.375,1,0
2021-22,40,BOS,NBA,SG,1,2,1,18.1,1,0,0,0,1,0,1,,,,1,,0,,0,0,,,0,0
