Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,MIL,NBA,PF,63,827,0.482,5.9,0.991,0.479,0.304,0.095,0.113,0.009,0.486,0.646,0.422,0.219,0.211,0,0.611,,0.104,35,0.333,0,1,0
2013-14,23,MIL,NBA,PF,70,1856,0.538,5.1,0.998,0.443,0.424,0.072,0.059,0.002,0.539,0.682,0.461,0.304,0.316,0,0.654,,0.108,65,0,,0,0
2014-15,24,MIL,NBA,C,67,1228,0.566,2.5,1,0.642,0.332,0.023,0.003,0,0.566,0.644,0.461,0,0,,0.765,,0.176,55,,,0,0
2015-16,25,MIL,NBA,C,57,960,0.564,3.3,0.997,0.536,0.405,0.041,0.014,0.003,0.566,0.647,0.475,0.583,0,0,0.756,,0.12,30,0,,0,0
2016-17,26,MIL,NBA,C,58,1123,0.515,4.9,0.997,0.511,0.356,0.052,0.081,0.003,0.516,0.633,0.445,0.25,0.24,0,0.723,,0.146,40,0,,0,0
2017-18,27,MIL,NBA,C,76,1970,0.572,4.5,0.986,0.558,0.317,0.026,0.084,0.014,0.578,0.707,0.428,0.462,0.333,0.143,0.815,1,0.227,102,0.143,0,2,0
2018-19,28,MIL,NBA,C,14,188,0.463,13.5,0.537,0.358,0.149,0.03,0,0.463,0.556,0.708,0.3,0,,0.355,0.7,0.909,0.179,11,0.323,0.4,0,0
2019-20,29,TOT,NBA,C,40,600,0.556,8.2,0.789,0.462,0.31,0.006,0.012,0.211,0.644,0.785,0.453,1,0,0.222,0.77,1,0.175,29,0.278,0.3,1,0
2019-20,29,CLE,NBA,C,29,412,0.508,9.5,0.742,0.433,0.283,0.008,0.017,0.258,0.618,0.769,0.412,1,0,0.194,0.8,1,0.183,21,0.258,0.25,1,0
2019-20,29,DET,NBA,C,11,188,0.667,5.2,0.902,0.529,0.373,0,0,0.098,0.696,0.815,0.526,,,0.4,0.719,1,0.157,8,0.4,0.5,0,0
