Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,ATL,NBA,SG,61,902,0.446,17.7,0.531,0.163,0.071,0.065,0.231,0.469,0.5,0.667,0.381,0.474,0.426,0.384,0.692,0.83,0.003,1,0.283,0.385,0,0
2013-14,22,ATL,NBA,SG,13,158,0.381,14,0.571,0.357,0.071,0.024,0.119,0.429,0.5,0.467,0.333,1,0.6,0.222,0.583,1,0,0,0.222,0,0,0
2014-15,23,ATL,NBA,SG,24,297,0.495,19,0.475,0.121,0.02,0.04,0.293,0.525,0.596,0.917,0,0.25,0.552,0.404,0.786,0.905,0,0,0.308,0.438,0,0
2015-16,24,TOT,NBA,SG,43,480,0.444,15.6,0.681,0.169,0.119,0.056,0.338,0.319,0.505,0.704,0.368,0.333,0.481,0.314,0.6,0.875,0,0,0.294,0.467,0,0
2015-16,24,DAL,NBA,SG,21,193,0.414,15.4,0.729,0.129,0.157,0.071,0.371,0.271,0.51,0.778,0.455,0.4,0.462,0.158,0.615,1,0,0,0.263,0.2,0,0
2015-16,24,PHO,NBA,SG,22,287,0.467,15.7,0.644,0.2,0.089,0.044,0.311,0.356,0.5,0.667,0.25,0.25,0.5,0.406,0.586,0.846,0,0,0.313,0.6,0,0
2016-17,25,PHO,NBA,SG,4,13,0.4,21.8,0.6,0,0,0,0.6,0.4,0.333,,,,0.333,0.5,1,1,0,0,0.5,0,0,0
2018-19,27,TOT,NBA,SG,26,333,0.4,20.7,0.448,0.048,0.038,0.095,0.267,0.552,0.426,0.6,0.5,0.3,0.429,0.379,0.85,0.909,0,0,0.276,0.313,0,0
2018-19,27,WAS,NBA,SG,4,14,1,25.6,0,0,0,0,0,1,,,,,,1,,1,0,0,0,,0,0
2018-19,27,NYK,NBA,SG,22,319,0.388,20.6,0.456,0.049,0.039,0.097,0.272,0.544,0.426,0.6,0.5,0.3,0.429,0.357,0.85,0.9,0,0,0.286,0.313,0,0
