Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,20,TOR,NBA,C,62,1482,0.557,5.9,1,0.451,0.339,0.107,0.104,0,0.557,0.697,0.46,0.436,0.395,,0.578,,0.153,52,,,0,0
2013-14,21,TOR,NBA,C,81,2282,0.531,5.8,0.999,0.417,0.376,0.12,0.086,0.001,0.532,0.66,0.488,0.37,0.328,0,0.593,,0.127,80,0,,0,0
2014-15,22,TOR,NBA,C,80,2096,0.572,4.1,0.998,0.505,0.38,0.063,0.051,0.002,0.573,0.669,0.5,0.39,0.394,0,0.534,,0.113,63,0,,0,0
2015-16,23,TOR,NBA,C,60,1557,0.565,4.2,1,0.543,0.312,0.084,0.062,0,0.565,0.646,0.473,0.489,0.424,,0.611,,0.112,53,,,0,0
2016-17,24,TOR,NBA,C,80,2066,0.557,6.3,0.997,0.446,0.295,0.145,0.113,0.003,0.557,0.626,0.57,0.431,0.405,0.5,0.615,1,0.1,67,0,,1,0
2017-18,25,TOR,NBA,C,77,1727,0.568,6.4,0.892,0.443,0.333,0.093,0.025,0.108,0.587,0.704,0.472,0.406,0.706,0.405,0.636,0.9,0.108,71,0.081,0.667,0,0
2018-19,26,TOT,NBA,C,49,1091,0.559,7,0.911,0.39,0.375,0.115,0.03,0.089,0.586,0.681,0.545,0.435,0.438,0.292,0.578,1,0.076,39,0.063,0.667,0,0
2018-19,26,TOR,NBA,C,30,564,0.575,7.4,0.884,0.367,0.386,0.112,0.019,0.116,0.611,0.684,0.6,0.448,0.4,0.3,0.629,1,0.073,18,0.033,1,0,0
2018-19,26,MEM,NBA,C,19,527,0.545,6.6,0.935,0.412,0.366,0.118,0.039,0.065,0.563,0.678,0.49,0.424,0.455,0.278,0.531,1,0.079,21,0.111,0.5,0,0
2019-20,27,MEM,NBA,C,70,1845,0.585,7.2,0.877,0.424,0.359,0.068,0.027,0.123,0.617,0.735,0.543,0.34,0.45,0.352,0.588,1,0.091,63,0.143,0.231,1,0
2020-21,28,MEM,NBA,C,62,1755,0.592,6.1,0.923,0.46,0.351,0.087,0.024,0.077,0.611,0.69,0.536,0.508,0.556,0.368,0.58,0.857,0.089,61,0.175,0.4,0,0
2021-22,29,NOP,NBA,C,74,2240,0.544,9.1,0.832,0.333,0.324,0.132,0.043,0.168,0.581,0.696,0.52,0.484,0.45,0.361,0.627,0.982,0.064,53,0.019,0.333,0,0
2022-23,30,NOP,NBA,C,79,1968,0.547,8.1,0.866,0.357,0.325,0.134,0.039,0.134,0.577,0.725,0.494,0.44,0.313,0.349,0.569,0.974,0.086,67,0.046,0.2,0,0
