Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,31,TOT,NBA,PG,73,2160,0.491,19.4,0.556,0.11,0.019,0.079,0.348,0.444,0.516,0.714,0.083,0.5,0.48,0.461,0.346,0.885,0,0,0.142,0.4,1,0
2012-13,31,TOR,NBA,PG,45,1273,0.47,20.1,0.538,0.07,0.025,0.083,0.359,0.462,0.505,0.607,0.1,0.545,0.503,0.429,0.352,0.861,0,0,0.125,0.261,1,0
2012-13,31,DET,NBA,PG,28,887,0.527,18.2,0.586,0.177,0.008,0.072,0.329,0.414,0.532,0.786,0,0.412,0.436,0.52,0.338,0.922,0,0,0.173,0.588,0,0
2013-14,32,DAL,NBA,PG,81,2468,0.456,20.3,0.432,0.092,0.025,0.051,0.263,0.568,0.464,0.652,0.263,0.421,0.426,0.449,0.3,0.848,0,0,0.172,0.507,2,0
2014-15,33,NYK,NBA,PG,42,1270,0.415,18.4,0.599,0.102,0.025,0.102,0.37,0.401,0.415,0.611,0.333,0.333,0.389,0.415,0.545,0.864,0,0,0.197,0.5,0,0
2015-16,34,NYK,NBA,PG,72,2024,0.459,18.4,0.554,0.099,0.029,0.114,0.312,0.446,0.496,0.644,0.538,0.404,0.479,0.414,0.304,0.869,0,0,0.133,0.481,0,0
2016-17,35,TOT,NBA,PG,41,539,0.41,18.5,0.522,0.142,0.022,0.09,0.269,0.478,0.5,0.737,0,0.333,0.472,0.313,0.486,0.9,0,0,0.219,0.143,0,0
2016-17,35,LAL,NBA,PG,24,292,0.416,18.6,0.558,0.104,0.039,0.143,0.273,0.442,0.465,0.75,0,0.364,0.476,0.353,0.4,0.917,0,0,0.206,0.286,0,0
2016-17,35,ATL,NBA,PG,17,247,0.404,18.4,0.474,0.193,0,0.018,0.263,0.526,0.556,0.727,,0,0.467,0.267,0.6,0.875,0,0,0.233,0,0,0
2017-18,36,CLE,NBA,PG,57,914,0.503,17.8,0.476,0.178,0.043,0.076,0.178,0.524,0.545,0.667,0.625,0.5,0.424,0.464,0.229,0.822,0,0,0.155,0.6,0,0
2018-19,37,DET,NBA,PG,49,632,0.375,19.1,0.525,0.1,0.058,0.108,0.258,0.475,0.492,0.583,0.286,0.308,0.581,0.246,0.258,1,0,0,0.14,0.25,1,0
