Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2017-18,22,LAL,NBA,SG,63,1461,0.469,15.1,0.475,0.317,0.061,0.053,0.043,0.525,0.551,0.681,0.261,0.3,0.313,0.396,0.633,0.936,0.027,10,0.198,0.513,0,0
2018-19,23,LAL,NBA,SG,67,1715,0.407,17,0.409,0.261,0.063,0.058,0.028,0.591,0.511,0.661,0.241,0.222,0.308,0.336,0.722,0.924,0.034,16,0.234,0.375,0,0
2019-20,24,NOP,NBA,SF,65,1755,0.423,18.2,0.335,0.211,0.073,0.038,0.013,0.665,0.584,0.688,0.538,0.25,0.143,0.342,0.462,0.967,0.008,4,0.277,0.418,0,0
2020-21,25,NOP,NBA,SF,47,1349,0.439,16.1,0.439,0.302,0.061,0.026,0.049,0.561,0.583,0.654,0.381,0.556,0.412,0.326,0.591,0.984,0.035,12,0.342,0.303,1,1
2021-22,26,TOT,NBA,SG,54,1791,0.504,12.4,0.626,0.399,0.134,0.06,0.033,0.374,0.601,0.705,0.434,0.382,0.421,0.343,0.472,0.74,0.035,19,0.169,0.583,0,0
2021-22,26,NOP,NBA,SG,41,1374,0.505,11.4,0.663,0.44,0.137,0.052,0.034,0.337,0.598,0.688,0.415,0.4,0.462,0.323,0.503,0.857,0.039,14,0.208,0.593,0,0
2021-22,26,POR,NBA,SG,13,417,0.503,14.5,0.546,0.311,0.126,0.077,0.033,0.454,0.61,0.754,0.478,0.357,0.333,0.373,0.393,0.581,0.027,5,0.108,0.556,0,0
2022-23,27,TOT,NBA,SF,76,2454,0.529,10.6,0.685,0.444,0.15,0.065,0.025,0.315,0.601,0.736,0.41,0.265,0.231,0.372,0.444,1,0.019,10,0.415,0.412,0,0
2022-23,27,POR,NBA,SF,51,1704,0.504,10.6,0.691,0.455,0.132,0.072,0.033,0.309,0.594,0.715,0.438,0.269,0.25,0.304,0.47,1,0.019,7,0.438,0.327,0,0
2022-23,27,NYK,NBA,SF,25,750,0.586,10.5,0.669,0.42,0.191,0.051,0.006,0.331,0.619,0.788,0.367,0.25,0,0.519,0.385,1,0.019,3,0.365,0.632,0,0
