Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,MIA,NBA,SG,52,1107,0.452,14.9,0.577,0.228,0.107,0.11,0.132,0.423,0.446,0.613,0.31,0.267,0.417,0.461,0.414,0.962,0.055,14,0.348,0.55,0,0
2016-17,23,MIA,NBA,SG,53,1614,0.394,16.9,0.558,0.172,0.096,0.101,0.189,0.442,0.444,0.545,0.408,0.519,0.33,0.33,0.354,0.933,0.025,11,0.26,0.475,1,0
2017-18,24,MIA,NBA,SF,81,2689,0.451,14.9,0.62,0.198,0.141,0.119,0.163,0.38,0.495,0.611,0.464,0.457,0.41,0.378,0.397,0.953,0.025,20,0.25,0.345,1,0
2018-19,25,MIA,NBA,SG,73,2539,0.412,16.5,0.552,0.176,0.125,0.131,0.12,0.448,0.458,0.569,0.367,0.455,0.39,0.357,0.436,0.878,0.027,25,0.154,0.366,0,0
2019-20,26,PHI,NBA,SG,55,1693,0.43,16.1,0.615,0.166,0.142,0.144,0.163,0.385,0.486,0.636,0.38,0.344,0.552,0.341,0.43,0.812,0.025,15,0.12,0.367,0,0
2020-21,27,DAL,NBA,SG,59,1790,0.427,16.2,0.568,0.16,0.16,0.15,0.097,0.432,0.501,0.677,0.404,0.495,0.383,0.33,0.443,0.83,0.01,5,0.18,0.292,1,0
2021-22,28,TOT,NBA,SG,65,1600,0.438,17.2,0.539,0.109,0.154,0.178,0.099,0.461,0.458,0.655,0.39,0.432,0.396,0.415,0.477,0.99,0.017,8,0.183,0.422,1,0
2021-22,28,BOS,NBA,SG,44,1087,0.443,17.1,0.545,0.108,0.155,0.175,0.108,0.455,0.481,0.703,0.453,0.4,0.432,0.397,0.444,0.984,0.012,3,0.218,0.353,0,0
2021-22,28,SAS,NBA,SG,21,513,0.429,17.4,0.529,0.11,0.152,0.183,0.084,0.471,0.416,0.571,0.276,0.486,0.313,0.444,0.548,1,0.026,5,0.122,0.636,1,0
2022-23,29,TOT,NBA,SG,65,1530,0.431,18.8,0.471,0.09,0.108,0.164,0.108,0.529,0.506,0.66,0.467,0.429,0.533,0.365,0.432,0.916,0.011,5,0.16,0.447,1,0
2022-23,29,SAS,NBA,SG,42,997,0.436,18.7,0.49,0.089,0.101,0.187,0.113,0.51,0.518,0.639,0.585,0.395,0.565,0.357,0.417,0.878,0.012,5,0.13,0.481,1,0
2022-23,29,NOP,NBA,SG,23,533,0.419,19,0.419,0.095,0.128,0.101,0.095,0.581,0.468,0.714,0.211,0.6,0.429,0.384,0.483,1,0.007,0,0.233,0.4,0,0
