Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,PHI,NBA,PG,78,2926,0.431,12.6,0.808,0.261,0.161,0.161,0.224,0.192,0.446,0.592,0.322,0.423,0.381,0.368,0.252,0.473,0.014,16,0.15,0.432,3,0
2013-14,23,NOP,NBA,PG,34,1143,0.447,12.2,0.83,0.275,0.183,0.143,0.229,0.17,0.459,0.56,0.349,0.462,0.423,0.39,0.162,0.467,0.007,3,0.169,0.308,0,0
2014-15,24,NOP,NBA,PG,40,1303,0.446,12.1,0.747,0.264,0.176,0.172,0.135,0.253,0.469,0.56,0.436,0.457,0.347,0.378,0.16,0.549,0.004,2,0.259,0.4,0,0
2015-16,25,NOP,NBA,PG,65,1831,0.439,12.3,0.723,0.29,0.164,0.149,0.121,0.277,0.478,0.576,0.418,0.446,0.363,0.336,0.207,0.517,0.011,10,0.127,0.212,2,1
2016-17,26,NOP,NBA,PG,67,2190,0.454,13.4,0.685,0.292,0.158,0.095,0.14,0.315,0.498,0.598,0.461,0.506,0.328,0.356,0.23,0.48,0.02,16,0.132,0.378,1,0
2017-18,27,NOP,NBA,SG,81,2927,0.494,11.6,0.714,0.298,0.219,0.11,0.085,0.286,0.557,0.671,0.487,0.438,0.5,0.337,0.345,0.708,0.03,31,0.163,0.293,2,0
2018-19,28,NOP,NBA,SG,67,2402,0.472,12.3,0.687,0.318,0.192,0.122,0.056,0.313,0.539,0.655,0.446,0.475,0.338,0.325,0.305,0.593,0.024,25,0.107,0.41,1,0
2019-20,29,NOP,NBA,SG,61,2117,0.455,12.1,0.656,0.337,0.214,0.07,0.036,0.344,0.509,0.628,0.372,0.486,0.25,0.353,0.31,0.574,0.026,22,0.147,0.431,2,0
2020-21,30,MIL,NBA,PG,59,1907,0.503,13.1,0.656,0.279,0.199,0.108,0.069,0.344,0.561,0.704,0.433,0.528,0.404,0.392,0.33,0.541,0.01,6,0.177,0.36,2,0
2021-22,31,MIL,NBA,PG,67,2208,0.501,13.6,0.664,0.222,0.246,0.124,0.071,0.336,0.547,0.651,0.464,0.542,0.515,0.411,0.197,0.432,0.004,4,0.103,0.364,1,0
2022-23,32,MIL,NBA,PG,67,2183,0.479,15.3,0.598,0.194,0.216,0.096,0.093,0.402,0.542,0.727,0.452,0.459,0.453,0.384,0.247,0.43,0.007,6,0.117,0.458,4,0
