Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2016-17,21,DEN,NBA,PF,62,842,0.451,14.1,0.496,0.353,0.098,0.018,0.031,0.504,0.495,0.595,0.318,0,0.143,0.407,0.618,1,0.08,15,0.257,0.517,0,0
2017-18,22,DEN,NBA,PF,25,277,0.387,16.8,0.333,0.2,0.133,0,0,0.667,0.6,0.8,0.3,,,0.28,0.533,0.929,0.027,2,0.34,0.412,0,0
2018-19,23,DEN,NBA,PF,70,1358,0.439,15.8,0.424,0.296,0.092,0.013,0.022,0.576,0.541,0.667,0.138,0.5,0.571,0.365,0.722,0.985,0.051,13,0.293,0.321,0,0
2019-20,24,TOT,NBA,PF,48,833,0.405,14.7,0.478,0.352,0.097,0.02,0.008,0.522,0.475,0.575,0.167,0.4,0,0.341,0.679,0.977,0.077,16,0.217,0.357,1,0
2019-20,24,DEN,NBA,PF,34,422,0.345,15.5,0.455,0.318,0.091,0.036,0.009,0.545,0.46,0.543,0.2,0.5,0,0.25,0.609,1,0.091,7,0.25,0.333,1,0
2019-20,24,MIN,NBA,PF,14,411,0.453,14.1,0.496,0.38,0.102,0.007,0.007,0.504,0.485,0.596,0.143,0,0,0.42,0.727,0.966,0.066,9,0.188,0.385,0,0
2020-21,25,MIN,NBA,PF,52,900,0.435,15.2,0.438,0.334,0.097,0.007,0,0.562,0.573,0.69,0.207,0,,0.327,0.747,0.982,0.047,12,0.226,0.447,0,0
2021-22,26,TOT,NBA,PF,40,445,0.415,17.2,0.349,0.217,0.123,0.009,0,0.651,0.541,0.696,0.308,0,,0.348,0.8,1,0.057,5,0.362,0.4,0,0
2021-22,26,BOS,NBA,PF,18,96,0.185,18.6,0.333,0.148,0.148,0.037,0,0.667,0.222,0.5,0,0,,0.167,1,1,0,0,0.167,0,0,0
2021-22,26,SAS,NBA,PF,5,51,0.333,13.8,0.5,0.333,0.167,0,0,0.5,0.667,1,0,,,0,0,,0,0,0.333,0,0,0
2021-22,26,UTA,NBA,PF,17,298,0.507,17,0.342,0.233,0.11,0,0,0.658,0.64,0.706,0.5,,,0.438,0.875,1,0.082,5,0.438,0.476,0,0
2022-23,27,TOR,NBA,PF,42,614,0.421,16.1,0.412,0.289,0.105,0,0.018,0.588,0.66,0.727,0.583,,0,0.254,0.677,1,0.018,2,0.418,0.321,0,0
