Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,22,DAL,NBA,SF,55,647,0.406,14.9,0.526,0.251,0.097,0.063,0.114,0.474,0.533,0.773,0.235,0.455,0.3,0.265,0.449,0.909,0.097,17,0.41,0.294,0,0
2016-17,23,TOT,NBA,SF,75,1228,0.424,14.1,0.558,0.319,0.128,0.057,0.05,0.442,0.522,0.707,0.339,0.28,0.136,0.299,0.539,0.948,0.096,37,0.227,0.341,2,0
2016-17,23,DAL,NBA,SF,51,710,0.401,14.1,0.56,0.296,0.152,0.058,0.051,0.44,0.477,0.671,0.333,0.25,0.071,0.303,0.459,0.973,0.072,17,0.27,0.364,1,0
2016-17,23,PHI,NBA,SF,24,518,0.463,14.1,0.556,0.358,0.086,0.056,0.049,0.444,0.6,0.759,0.357,0.333,0.25,0.292,0.648,0.905,0.136,20,0.153,0.273,1,0
2017-18,24,PHI,NBA,SF,38,519,0.431,14.8,0.49,0.302,0.104,0.04,0.045,0.51,0.535,0.672,0.238,0.375,0.444,0.33,0.679,0.941,0.104,17,0.291,0.3,1,0
2018-19,25,ATL,NBA,SF,48,463,0.408,14.8,0.51,0.293,0.127,0.07,0.019,0.49,0.5,0.674,0.3,0.273,0,0.312,0.525,0.917,0.096,14,0.221,0.353,1,0
2019-20,26,BRK,NBA,SG,10,107,0.263,20.3,0.237,0.211,0.026,0,0,0.763,0.444,0.375,1,,,0.207,1,1,0.053,2,0.276,0.25,0,0
2021-22,28,TOT,NBA,SF,16,316,0.379,18.9,0.379,0.147,0.095,0.042,0.095,0.621,0.583,0.714,0.444,0.25,0.667,0.254,0.667,0.933,0.032,1,0.339,0.4,0,0
2021-22,28,CLE,NBA,SF,3,47,0.5,22,0.25,0.125,0,0,0.125,0.75,1,1,,,1,0.333,1,1,0,0,0.333,0,0,0
2021-22,28,IND,NBA,SF,13,269,0.368,18.6,0.391,0.149,0.103,0.046,0.092,0.609,0.559,0.692,0.444,0.25,0.625,0.245,0.632,0.923,0.034,1,0.34,0.444,0,0
