Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,23,PHI,NBA,SG,9,142,0.333,16.7,0.667,0.188,0.063,0.146,0.271,0.333,0.375,0.667,0.667,0.143,0.231,0.25,0.833,1,0.042,2,0.188,0.333,0,0
2014-15,25,GSW,NBA,SG,59,657,0.387,16.7,0.536,0.2,0.072,0.072,0.191,0.464,0.444,0.553,0.294,0.529,0.356,0.321,0.75,0.943,0.064,13,0.239,0.462,1,0
2015-16,26,TOT,NBA,SG,53,773,0.386,14.9,0.539,0.263,0.088,0.061,0.127,0.461,0.423,0.483,0.25,0.214,0.517,0.343,0.692,0.972,0.053,12,0.362,0.368,0,0
2015-16,26,ATL,NBA,SG,26,263,0.329,16.4,0.384,0.233,0.068,0.027,0.055,0.616,0.5,0.471,0.4,0.5,0.75,0.222,0.786,1,0.055,4,0.578,0.231,0,0
2015-16,26,CHI,NBA,SG,27,510,0.413,14.2,0.613,0.277,0.097,0.077,0.161,0.387,0.4,0.488,0.2,0.167,0.48,0.433,0.658,0.962,0.052,8,0.2,0.667,0,0
2016-17,27,NYK,NBA,SG,82,1639,0.433,17.6,0.493,0.197,0.048,0.071,0.177,0.507,0.513,0.642,0.423,0.474,0.411,0.355,0.743,0.979,0.048,24,0.348,0.474,3,0
2017-18,28,CHI,NBA,SG,72,2265,0.371,18.4,0.426,0.13,0.068,0.075,0.151,0.574,0.387,0.539,0.283,0.305,0.347,0.359,0.705,0.957,0.024,19,0.301,0.356,4,0
2018-19,29,TOT,NBA,SG,82,2607,0.386,18.6,0.402,0.152,0.068,0.075,0.107,0.598,0.442,0.669,0.132,0.379,0.361,0.348,0.761,0.932,0.041,30,0.335,0.41,2,0
2018-19,29,CHI,NBA,SG,38,1325,0.383,20.3,0.315,0.094,0.061,0.069,0.091,0.685,0.435,0.649,0.167,0.444,0.389,0.359,0.648,0.938,0.025,9,0.293,0.43,1,0
2018-19,29,MEM,NBA,SG,44,1282,0.389,16.8,0.491,0.211,0.076,0.081,0.123,0.509,0.447,0.679,0.103,0.323,0.34,0.333,0.833,0.923,0.057,21,0.395,0.39,1,0
2019-20,30,IND,NBA,SF,73,1826,0.428,19.6,0.319,0.16,0.047,0.045,0.066,0.681,0.477,0.59,0.261,0.364,0.438,0.405,0.77,0.978,0.047,18,0.39,0.403,3,0
2020-21,31,IND,NBA,SG,72,2183,0.413,19.9,0.275,0.165,0.034,0.027,0.05,0.725,0.494,0.612,0.19,0.118,0.516,0.382,0.671,0.971,0.034,18,0.371,0.435,0,0
2021-22,32,TOT,NBA,"SF,SG",74,2057,0.394,20.7,0.272,0.104,0.048,0.044,0.076,0.728,0.467,0.594,0.344,0.483,0.36,0.367,0.786,0.96,0.021,12,0.288,0.388,1,0
2021-22,32,IND,NBA,SF,49,1416,0.415,21.1,0.266,0.1,0.037,0.05,0.079,0.734,0.516,0.674,0.353,0.478,0.417,0.378,0.825,0.969,0.017,7,0.292,0.398,1,0
2021-22,32,SAC,NBA,SG,25,641,0.348,20,0.284,0.113,0.074,0.029,0.069,0.716,0.362,0.435,0.333,0.5,0.214,0.342,0.667,0.94,0.029,5,0.281,0.366,0,0
2022-23,33,TOT,NBA,"SF,SG",46,706,0.377,19.8,0.299,0.147,0.02,0.034,0.098,0.701,0.508,0.7,0.5,0.143,0.35,0.322,0.871,0.913,0.039,8,0.538,0.325,0,0
2022-23,33,ATL,NBA,SF,28,411,0.384,20.2,0.304,0.152,0.008,0.032,0.112,0.696,0.474,0.684,0,0,0.357,0.345,1,0.9,0.048,6,0.414,0.306,0,0
2022-23,33,DAL,NBA,SF,18,295,0.367,19.1,0.291,0.139,0.038,0.038,0.076,0.709,0.565,0.727,0.667,0.333,0.333,0.286,0.692,0.938,0.025,2,0.732,0.341,0,0
