Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,19,MIA,NBA,SF,78,2232,0.422,10.5,0.749,0.392,0.175,0.039,0.145,0.251,0.471,0.575,0.383,0.278,0.358,0.276,0.589,0.969,0.045,19,0.716,0.277,2,0
2016-17,20,MIA,NBA,SF,18,625,0.356,10.6,0.844,0.32,0.258,0.062,0.204,0.156,0.384,0.472,0.379,0.214,0.304,0.2,0.397,1,0.04,7,0.6,0.286,0,0
2017-18,21,MIA,NBA,PF,68,1680,0.424,10.3,0.736,0.367,0.238,0.072,0.055,0.264,0.44,0.564,0.379,0.2,0.222,0.38,0.468,1,0.037,15,0.543,0.4,5,0
2018-19,22,MIA,NBA,SF,66,1959,0.433,13,0.658,0.251,0.236,0.107,0.064,0.342,0.462,0.569,0.412,0.35,0.417,0.375,0.36,0.979,0.021,16,0.332,0.376,1,0
2019-20,23,MIA,NBA,SG,11,352,0.388,10.4,0.791,0.256,0.372,0.085,0.078,0.209,0.431,0.606,0.354,0.455,0.2,0.222,0.5,0.833,0.031,3,0.296,0.125,0,0
2020-21,24,MEM,NBA,SF,26,507,0.352,11.9,0.743,0.233,0.262,0.148,0.1,0.257,0.41,0.551,0.455,0.194,0.286,0.185,0.516,1,0.043,9,0.407,0.227,0,0
2021-22,25,TOT,NBA,PF,48,775,0.428,10.7,0.743,0.354,0.257,0.07,0.062,0.257,0.497,0.681,0.379,0.222,0.25,0.227,0.695,1,0.023,5,0.409,0.222,2,0
2021-22,25,LAC,NBA,PF,37,480,0.447,9.5,0.794,0.362,0.319,0.078,0.035,0.206,0.518,0.686,0.422,0.273,0.2,0.172,0.672,1,0.028,3,0.517,0.267,2,0
2021-22,25,POR,NBA,PF,11,295,0.405,12,0.681,0.345,0.181,0.06,0.095,0.319,0.468,0.675,0.286,0.143,0.273,0.27,0.73,1,0.017,2,0.324,0.167,0,0
2022-23,26,POR,NBA,PF,29,776,0.409,9.8,0.773,0.348,0.288,0.106,0.03,0.227,0.438,0.551,0.386,0.286,0.167,0.311,0.567,1,0.02,3,0.444,0.3,0,0
