Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2014-15,20,DEN,NBA,C,62,1103,0.446,4.5,0.995,0.486,0.397,0.023,0.089,0.005,0.449,0.575,0.316,0.333,0.382,0,0.673,,0.055,17,0.5,0,0,0
2015-16,21,DEN,NBA,C,32,547,0.417,4.5,0.988,0.483,0.397,0.041,0.066,0.012,0.423,0.496,0.344,0.3,0.438,0,0.743,,0.045,11,0,,0,0
2016-17,22,TOT,NBA,C,65,1391,0.507,4.2,0.998,0.612,0.285,0.015,0.084,0.002,0.508,0.578,0.428,0.25,0.333,0,0.605,,0.092,46,0,,0,0
2016-17,22,DEN,NBA,C,45,807,0.507,3.7,1,0.638,0.285,0.017,0.057,0,0.507,0.579,0.412,0.4,0.235,,0.629,,0.111,30,,,0,0
2016-17,22,POR,NBA,C,20,584,0.508,4.9,0.996,0.581,0.284,0.013,0.119,0.004,0.511,0.577,0.448,0,0.393,0,0.575,,0.068,16,0,,0,0
2017-18,23,POR,NBA,C,79,2088,0.505,5.9,0.993,0.466,0.304,0.091,0.131,0.007,0.508,0.643,0.391,0.402,0.376,0,0.694,,0.068,61,0,,1,0
2018-19,24,POR,NBA,C,72,1974,0.508,5.7,0.965,0.552,0.262,0.056,0.096,0.035,0.523,0.603,0.417,0.391,0.43,0.103,0.657,1,0.097,68,0.069,0,0,0
2019-20,25,POR,NBA,C,8,253,0.495,6.3,0.908,0.495,0.303,0.073,0.037,0.092,0.525,0.685,0.394,0.125,0.25,0.2,0.75,1,0.138,15,0.1,0,0,0
2020-21,26,POR,NBA,C,37,880,0.514,5.7,0.91,0.565,0.27,0.042,0.033,0.09,0.525,0.596,0.433,0.5,0.091,0.4,0.711,0.917,0.093,28,0,,1,0
2021-22,27,POR,NBA,C,56,1579,0.535,5.9,0.907,0.49,0.35,0.03,0.037,0.093,0.563,0.653,0.481,0.278,0.364,0.268,0.627,0.933,0.062,35,0.018,1,0,0
2022-23,28,POR,NBA,C,52,1391,0.519,8.6,0.764,0.451,0.279,0.018,0.016,0.236,0.567,0.645,0.447,0.556,0.5,0.361,0.594,1,0.044,21,0.126,0.333,0,0
