Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,21,SAS,NBA,SF,58,1810,0.494,12.7,0.669,0.329,0.122,0.093,0.125,0.331,0.554,0.659,0.438,0.51,0.424,0.374,0.544,0.985,0.105,47,0.695,0.43,0,0
2013-14,22,SAS,NBA,SF,66,1923,0.522,12.5,0.718,0.304,0.147,0.119,0.147,0.282,0.579,0.694,0.505,0.468,0.505,0.379,0.519,0.884,0.098,59,0.429,0.372,0,0
2014-15,23,SAS,NBA,SF,64,2033,0.479,12.7,0.766,0.212,0.18,0.187,0.187,0.234,0.519,0.724,0.426,0.481,0.416,0.349,0.45,0.97,0.066,49,0.385,0.459,0,0
2015-16,24,SAS,NBA,SF,72,2380,0.506,13.3,0.733,0.207,0.148,0.201,0.178,0.267,0.528,0.73,0.472,0.498,0.376,0.443,0.45,0.86,0.061,64,0.22,0.484,0,0
2016-17,25,SAS,NBA,SF,74,2474,0.485,14.8,0.705,0.172,0.143,0.18,0.21,0.295,0.529,0.664,0.527,0.441,0.493,0.38,0.384,0.782,0.055,67,0.155,0.483,0,0
2017-18,26,SAS,NBA,SF,9,210,0.468,14,0.685,0.207,0.108,0.252,0.117,0.315,0.539,0.739,0.417,0.5,0.385,0.314,0.122,0.636,0.027,2,0.143,0.2,0,0
2018-19,27,TOR,NBA,SF,60,2040,0.496,13.3,0.733,0.249,0.147,0.188,0.149,0.267,0.542,0.701,0.464,0.472,0.44,0.371,0.283,0.67,0.05,54,0.166,0.42,0,0
2019-20,28,LAC,NBA,SF,57,1848,0.47,14.6,0.713,0.167,0.174,0.226,0.147,0.287,0.506,0.698,0.452,0.445,0.446,0.378,0.284,0.626,0.059,59,0.052,0.412,0,0
2020-21,29,LAC,NBA,SF,52,1773,0.512,13.9,0.72,0.186,0.188,0.215,0.131,0.28,0.557,0.775,0.52,0.467,0.445,0.398,0.286,0.713,0.069,60,0.169,0.512,1,0
2022-23,31,LAC,NBA,SF,52,1748,0.512,14.9,0.713,0.141,0.178,0.225,0.169,0.287,0.551,0.724,0.523,0.531,0.463,0.416,0.333,0.644,0.049,42,0.192,0.521,2,0
