Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2013-14,22,BOS,NBA,C,70,1400,0.466,11,0.773,0.402,0.131,0.09,0.149,0.227,0.5,0.653,0.303,0.356,0.347,0.351,0.686,0.975,0.02,10,0.096,0.364,0,0
2014-15,23,BOS,NBA,C,64,1423,0.475,12.2,0.669,0.356,0.131,0.076,0.106,0.331,0.538,0.681,0.348,0.475,0.339,0.349,0.642,0.951,0.044,23,0.109,0.368,1,0
2015-16,24,BOS,NBA,C,69,1395,0.455,12.8,0.622,0.356,0.113,0.056,0.097,0.378,0.486,0.657,0.238,0.323,0.241,0.405,0.619,0.953,0.018,10,0.11,0.609,0,0
2016-17,25,BOS,NBA,C,75,1538,0.512,13.1,0.622,0.368,0.11,0.065,0.083,0.378,0.608,0.754,0.429,0.364,0.357,0.354,0.719,0.956,0.045,22,0.161,0.581,0,0
2017-18,26,MIA,NBA,PF,76,1779,0.497,14.4,0.56,0.274,0.137,0.066,0.082,0.44,0.59,0.782,0.46,0.381,0.346,0.379,0.533,0.906,0.033,20,0.139,0.41,1,0
2018-19,27,MIA,NBA,PF,79,1812,0.463,16.5,0.434,0.246,0.113,0.037,0.037,0.566,0.604,0.719,0.516,0.381,0.333,0.354,0.696,0.982,0.027,14,0.219,0.371,1,0
2019-20,28,MIA,NBA,C,67,1300,0.462,17.6,0.412,0.221,0.098,0.055,0.038,0.588,0.543,0.693,0.359,0.455,0.267,0.406,0.697,0.947,0.023,9,0.197,0.391,1,0
2020-21,29,TOT,NBA,"C,PF",70,1997,0.484,15.6,0.472,0.286,0.135,0.03,0.022,0.528,0.641,0.769,0.479,0.286,0.467,0.342,0.739,0.937,0.032,20,0.158,0.276,0,0
2020-21,29,MIA,NBA,C,43,1157,0.431,18.1,0.354,0.226,0.082,0.024,0.021,0.646,0.639,0.729,0.548,0.222,0.5,0.317,0.871,0.974,0.027,10,0.185,0.2,0,0
2020-21,29,HOU,NBA,PF,27,840,0.545,12.6,0.611,0.355,0.196,0.037,0.022,0.389,0.643,0.798,0.444,0.333,0.429,0.392,0.651,0.878,0.037,10,0.104,0.538,0,0
2021-22,30,DET,NBA,C,40,764,0.448,14.2,0.584,0.301,0.175,0.045,0.063,0.416,0.527,0.64,0.38,0.385,0.5,0.336,0.625,0.875,0.052,11,0.017,0.5,1,0
2022-23,31,UTA,NBA,C,68,1942,0.499,14.5,0.576,0.223,0.268,0.048,0.038,0.424,0.576,0.702,0.544,0.296,0.429,0.394,0.643,0.968,0.025,13,0.203,0.438,0,0
