Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2015-16,20,WAS,NBA,SF,63,671,0.427,11.6,0.626,0.417,0.142,0.024,0.043,0.374,0.492,0.591,0.333,0.6,0,0.316,0.523,1,0.109,19,0.291,0.304,1,0
2016-17,21,WAS,NBA,SF,79,1605,0.421,14,0.575,0.33,0.095,0.068,0.084,0.425,0.52,0.623,0.333,0.4,0.405,0.287,0.545,0.981,0.106,41,0.431,0.185,1,0
2017-18,22,WAS,NBA,SF,81,2231,0.403,14.9,0.533,0.242,0.148,0.063,0.08,0.467,0.456,0.644,0.333,0.26,0.27,0.341,0.531,0.921,0.067,46,0.271,0.29,1,0
2018-19,23,TOT,NBA,SF,69,1935,0.445,13.1,0.599,0.325,0.185,0.053,0.034,0.401,0.53,0.639,0.353,0.489,0.517,0.32,0.558,0.87,0.099,70,0.225,0.316,1,0
2018-19,23,WAS,NBA,SF,29,755,0.433,13.7,0.567,0.298,0.2,0.039,0.03,0.433,0.526,0.626,0.393,0.417,0.556,0.311,0.659,0.951,0.105,29,0.22,0.276,0,0
2018-19,23,PHO,NBA,SF,40,1180,0.453,12.7,0.616,0.341,0.177,0.061,0.037,0.384,0.532,0.645,0.326,0.515,0.5,0.325,0.506,0.821,0.095,41,0.228,0.34,1,0
2019-20,24,PHO,NBA,SF,56,1933,0.452,12.7,0.628,0.334,0.166,0.082,0.046,0.372,0.511,0.587,0.387,0.426,0.553,0.352,0.574,0.954,0.103,71,0.283,0.333,1,0
2020-21,25,GSW,NBA,SF,55,1687,0.439,13.2,0.606,0.267,0.238,0.062,0.04,0.394,0.519,0.72,0.355,0.422,0.31,0.316,0.675,0.944,0.133,84,0.354,0.386,0,0
2021-22,26,CHO,NBA,SF,76,1999,0.44,16.9,0.407,0.231,0.121,0.042,0.013,0.593,0.578,0.716,0.425,0.308,0.417,0.345,0.612,0.932,0.063,53,0.313,0.335,2,0
2022-23,27,CHO,NBA,SF,48,1548,0.431,13.8,0.586,0.252,0.206,0.093,0.035,0.414,0.51,0.66,0.361,0.447,0.483,0.319,0.539,0.917,0.067,47,0.295,0.41,0,0
