Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3月10日,10月16日,16-3P,3P,2P,0-3,3月10日,10月16日,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,#
2012-13,22,CHA,NBA,PG,82,2859,0.423,13.4,0.733,0.302,0.113,0.129,0.189,0.267,0.459,0.548,0.312,0.413,0.438,0.322,0.258,0.738,0.004,5,0.075,0.32,7,0
2013-14,23,CHA,NBA,PG,73,2614,0.393,15.2,0.714,0.221,0.087,0.149,0.256,0.286,0.417,0.514,0.34,0.4,0.369,0.333,0.212,0.67,0.001,0,0.07,0.304,9,0
2014-15,24,CHO,NBA,PG,62,2119,0.385,13.8,0.715,0.258,0.115,0.13,0.211,0.285,0.418,0.494,0.381,0.297,0.42,0.304,0.259,0.659,0,0,0.089,0.28,4,0
2015-16,25,CHO,NBA,PG,81,2885,0.427,14.8,0.632,0.25,0.092,0.091,0.2,0.368,0.459,0.598,0.336,0.38,0.376,0.371,0.189,0.599,0,0,0.106,0.404,4,1
2016-17,26,CHO,NBA,PG,79,2739,0.444,15,0.585,0.304,0.065,0.073,0.144,0.415,0.476,0.549,0.33,0.387,0.428,0.399,0.201,0.513,0,0,0.066,0.525,3,0
2017-18,27,CHO,NBA,PG,80,2736,0.431,16,0.559,0.227,0.086,0.095,0.151,0.441,0.469,0.573,0.316,0.408,0.437,0.384,0.151,0.481,0.001,0,0.048,0.379,7,0
2018-19,28,CHO,NBA,PG,82,2863,0.434,15.8,0.566,0.252,0.107,0.1,0.106,0.434,0.494,0.576,0.343,0.479,0.466,0.356,0.2,0.438,0,0,0.052,0.395,10,1
2019-20,29,BOS,NBA,PG,56,1742,0.425,17.6,0.468,0.198,0.111,0.076,0.082,0.532,0.476,0.597,0.273,0.471,0.466,0.381,0.247,0.489,0,0,0.053,0.36,5,0
2020-21,30,BOS,NBA,PG,43,1369,0.42,18,0.478,0.126,0.157,0.09,0.105,0.522,0.486,0.741,0.377,0.475,0.352,0.36,0.268,0.551,0,0,0.057,0.4,3,0
2021-22,31,NYK,NBA,PG,37,948,0.403,18,0.462,0.138,0.13,0.084,0.111,0.538,0.444,0.569,0.375,0.323,0.463,0.367,0.211,0.507,0,0,0.03,0.5,0,0
2022-23,32,DAL,NBA,PG,9,144,0.421,16.5,0.509,0.211,0.123,0.088,0.088,0.491,0.586,0.583,0.571,0.6,0.6,0.25,0.176,0.429,0,0,0.071,0,0,0
